date,indice,subitem,var_mensal,pesos,contribuicao
2020-01-01,IPCA,1101002 Arroz,1.31,0.004753,0.006226430000000001
2020-01-01,IPCA,1101051 Feijão - mulatinho,4.5,0.00011599999999999999,0.0005219999999999999
2020-01-01,IPCA,1101052 Feijão - preto,-2.68,0.000486,-0.00130248
2020-01-01,IPCA,1101053 Feijão - macáçar (fradinho),5.39,0.000121,0.00065219
2020-01-01,IPCA,1101073 Feijão - carioca (rajado),-0.7,0.00135,-0.000945
2020-01-01,IPCA,1101079 Milho (em grão),0.2,0.0001,2e-05
2020-01-01,IPCA,1102001 Farinha de arroz,1.25,2.8e-05,3.5e-05
2020-01-01,IPCA,1102006 Macarrão,-0.18,0.001467,-0.00026406
2020-01-01,IPCA,1102008 Fubá de milho,0.43,7.900000000000001e-05,3.397e-05
2020-01-01,IPCA,1102010 Flocos de milho,-0.03,0.00010200000000000001,-3.0600000000000003e-06
2020-01-01,IPCA,1102012 Farinha de trigo,0.3,0.00045900000000000004,0.0001377
2020-01-01,IPCA,1102023 Farinha de mandioca,2.51,0.0009229999999999999,0.0023167299999999995
2020-01-01,IPCA,1102029 Massa semipreparada,1.85,0.001166,0.0021571
2020-01-01,IPCA,1102061 Macarrão instantâneo,-1.32,0.000271,-0.00035771999999999996
2020-01-01,IPCA,1103002 Batata-doce,4.67,0.000207,0.00096669
2020-01-01,IPCA,1103003 Batata-inglesa,11.02,0.001462,0.01611124
2020-01-01,IPCA,1103004 Inhame,1.65,1.9e-05,3.135e-05
2020-01-01,IPCA,1103005 Mandioca (aipim),-2.43,0.000135,-0.00032805000000000003
2020-01-01,IPCA,1103020 Abobrinha,17.39,6.2e-05,0.00107818
2020-01-01,IPCA,1103025 Pepino,10.1,2.6e-05,0.0002626
2020-01-01,IPCA,1103026 Pimentão,-7.58,0.000134,-0.0010157200000000001
2020-01-01,IPCA,1103028 Tomate,13.72,0.001798,0.02466856
2020-01-01,IPCA,1103043 Cebola,-6.06,0.001027,-0.006223619999999999
2020-01-01,IPCA,1103044 Cenoura,13.92,0.00041,0.0057072
2020-01-01,IPCA,1104003 Açúcar refinado,0.44,0.0008799999999999999,0.0003872
2020-01-01,IPCA,1104004 Açúcar cristal,2.38,0.0009270000000000001,0.0022062600000000003
2020-01-01,IPCA,1104018 Balas,-1.22,0.00017,-0.0002074
2020-01-01,IPCA,1104023 Chocolate em barra e bombom,0.82,0.0018160000000000001,0.00148912
2020-01-01,IPCA,1104032 Sorvete,-0.18,0.001316,-0.00023687999999999997
2020-01-01,IPCA,1104052 Chocolate e achocolatado em pó,0.88,0.001062,0.00093456
2020-01-01,IPCA,1104060 Doce de frutas em pasta,-0.51,1.4e-05,-7.14e-06
2020-01-01,IPCA,1104067 Açúcar demerara,0.17,5e-06,8.500000000000001e-07
2020-01-01,IPCA,1105001 Alface,3.24,0.000803,0.00260172
2020-01-01,IPCA,1105004 Coentro,2.26,7.6e-05,0.00017176
2020-01-01,IPCA,1105005 Couve,2.32,0.000147,0.00034104
2020-01-01,IPCA,1105006 Couve-flor,7.13,2.8e-05,0.00019964
2020-01-01,IPCA,1105010 Repolho,4.37,0.000131,0.00057247
2020-01-01,IPCA,1105012 Cheiro-verde,1.72,0.000387,0.0006656399999999999
2020-01-01,IPCA,1105019 Brócolis,0.03,0.000237,7.11e-06
2020-01-01,IPCA,1106001 Banana-da-terra,2.19,0.000185,0.00040515
2020-01-01,IPCA,1106003 Abacaxi,-1.19,0.000177,-0.00021062999999999998
2020-01-01,IPCA,1106004 Abacate,5.4,1.7e-05,9.180000000000001e-05
2020-01-01,IPCA,1106005 Banana - d'água,-1.9,0.000953,-0.0018107
2020-01-01,IPCA,1106006 Banana - maçã,10.47,4e-05,0.00041880000000000004
2020-01-01,IPCA,1106008 Banana - prata,7.87,0.001488,0.01171056
2020-01-01,IPCA,1106011 Laranja - baía,-8.07,4.1e-05,-0.00033087000000000004
2020-01-01,IPCA,1106012 Laranja - lima,6.15,4.7000000000000004e-05,0.00028905000000000006
2020-01-01,IPCA,1106015 Limão,-30.35,0.000265,-0.00804275
2020-01-01,IPCA,1106017 Maçã,2.95,0.001344,0.0039648
2020-01-01,IPCA,1106018 Mamão,-2.2,0.000751,-0.0016522000000000002
2020-01-01,IPCA,1106019 Manga,3.14,0.000472,0.00148208
2020-01-01,IPCA,1106020 Maracujá,24.56,7.7e-05,0.00189112
2020-01-01,IPCA,1106021 Melancia,-3.24,0.000287,-0.00092988
2020-01-01,IPCA,1106022 Melão,-2.89,0.000143,-0.00041327000000000003
2020-01-01,IPCA,1106023 Pera,5.38,0.000194,0.00104372
2020-01-01,IPCA,1106027 Tangerina,1.37,0.000279,0.00038223000000000006
2020-01-01,IPCA,1106028 Uva,2.88,0.0007530000000000001,0.0021686400000000003
2020-01-01,IPCA,1106039 Laranja - pera,6.26,0.000847,0.00530222
2020-01-01,IPCA,1106051 Morango,-1.57,7.1e-05,-0.00011147000000000002
2020-01-01,IPCA,1106084 Goiaba,4.05,5e-05,0.0002025
2020-01-01,IPCA,1107009 Fígado,1.76,0.000177,0.00031151999999999997
2020-01-01,IPCA,1107018 Carne de porco,1.66,0.003364,0.005584239999999999
2020-01-01,IPCA,1107031 Carne de carneiro,-2.73,2.6e-05,-7.098e-05
2020-01-01,IPCA,1107081 Cupim,1.43,8.800000000000001e-05,0.00012584
2020-01-01,IPCA,1107084 Contrafilé,-5.09,0.004514000000000001,-0.022976260000000002
2020-01-01,IPCA,1107085 Filé-mignon,-9.42,0.000302,-0.0028448400000000004
2020-01-01,IPCA,1107087 Chã de dentro,-6.83,0.0030459999999999997,-0.02080418
2020-01-01,IPCA,1107088 Alcatra,-5.89,0.0036049999999999997,-0.021233449999999997
2020-01-01,IPCA,1107089 Patinho,-8.32,0.001684,-0.01401088
2020-01-01,IPCA,1107090 Lagarto redondo,-3.94,8.2e-05,-0.00032308
2020-01-01,IPCA,1107091 Lagarto comum,-4.34,0.000686,-0.00297724
2020-01-01,IPCA,1107093 Músculo,-1.89,0.001368,-0.00258552
2020-01-01,IPCA,1107094 Pá,-4.71,0.001061,-0.0049973100000000005
2020-01-01,IPCA,1107095 Acém,-6.52,0.002516,-0.01640432
2020-01-01,IPCA,1107096 Peito,0.08,0.000135,1.08e-05
2020-01-01,IPCA,1107097 Capa de filé,1.45,0.00037699999999999995,0.0005466499999999999
2020-01-01,IPCA,1107099 Costela,-1.31,0.0032300000000000002,-0.0042313
2020-01-01,IPCA,1107208 Picanha,-1.51,0.00039600000000000003,-0.00059796
2020-01-01,IPCA,1108002 Peixe - anchova,2.51,5.999999999999999e-06,1.5059999999999996e-05
2020-01-01,IPCA,1108004 Peixe - corvina,9.24,0.000212,0.00195888
2020-01-01,IPCA,1108011 Peixe - tainha,2.5,1.6e-05,3.9999999999999996e-05
2020-01-01,IPCA,1108012 Peixe - sardinha,0.59,5.3e-05,3.127e-05
2020-01-01,IPCA,1108013 Camarão,2.2,0.000308,0.0006776000000000001
2020-01-01,IPCA,1108019 Peixe - cavala,3.17,8e-06,2.5359999999999998e-05
2020-01-01,IPCA,1108029 Peixe - cação,4.61,6.7e-05,0.00030887000000000004
2020-01-01,IPCA,1108031 Peixe - merluza,1.27,0.00015900000000000002,0.00020193
2020-01-01,IPCA,1108032 Peixe - serra,-3.03,1.1999999999999999e-05,-3.635999999999999e-05
2020-01-01,IPCA,1108038 Peixe - pescada,6.3,0.00029,0.001827
2020-01-01,IPCA,1108045 Caranguejo,5.06,5e-05,0.00025299999999999997
2020-01-01,IPCA,1108049 Peixe - castanha,2.47,1e-05,2.4700000000000004e-05
2020-01-01,IPCA,1108052 Peixe - palombeta,-0.23,8e-06,-1.84e-06
2020-01-01,IPCA,1108072 Peixe - curimatã,1.25,5.999999999999999e-06,7.499999999999999e-06
2020-01-01,IPCA,1108075 Peixe - salmão,-1.87,0.000157,-0.00029359
2020-01-01,IPCA,1108080 Peixe - tilápia,1.72,0.00046699999999999997,0.0008032399999999999
2020-01-01,IPCA,1108087 Peixe - tambaqui,-0.68,0.000228,-0.00015504
2020-01-01,IPCA,1108088 Peixe - dourada,11.74,7.2e-05,0.00084528
2020-01-01,IPCA,1108092 Peixe - filhote,24.76,3.2e-05,0.00079232
2020-01-01,IPCA,1108096 Peixe - peroá,9.4,7e-06,6.58e-05
2020-01-01,IPCA,1108112 Peixe - pintado,0.04,2.9999999999999997e-06,1.2e-07
2020-01-01,IPCA,1108125 Peixe - aruanã,-0.45,5.999999999999999e-06,-2.6999999999999996e-06
2020-01-01,IPCA,1109002 Presunto,2.03,0.000963,0.00195489
