subitem,grupo,subgrupo,item,subjacente,nucleo_ex0,nucleo_ex01,nucleo_ex02,nucleo_ex03,nucleo_ex03_servicos,nucleo_ex03_industriais,nucleo_exfe
1101002 Arroz,Livres,Alimentos,Alimentos semi-elaborados,,0,0,0,0,0,0,0
1101051 Feijão - mulatinho,Livres,Alimentos,Alimentos semi-elaborados,,0,0,0,0,0,0,0
1101052 Feijão - preto,Livres,Alimentos,Alimentos semi-elaborados,,0,0,0,0,0,0,0
1101053 Feijão - macáçar (fradinho),Livres,Alimentos,Alimentos semi-elaborados,,0,0,0,0,0,0,0
1101073 Feijão - carioca (rajado),Livres,Alimentos,Alimentos semi-elaborados,,0,0,0,0,0,0,0
1101079 Milho (em grão),Livres,Alimentos,Alimentos semi-elaborados,,0,0,0,0,0,0,0
1102001 Farinha de arroz,Livres,Alimentos,Alimentos industrializados,,0,1,0,0,0,0,0
1102006 Macarrão,Livres,Alimentos,Alimentos industrializados,,0,1,0,0,0,0,0
1102008 Fubá de milho,Livres,Alimentos,Alimentos industrializados,,0,1,0,0,0,0,0
1102010 Flocos de milho,Livres,Alimentos,Alimentos industrializados,,0,1,0,0,0,0,0
1102012 Farinha de trigo,Livres,Alimentos,Alimentos industrializados,,0,1,0,0,0,0,0
1102023 Farinha de mandioca,Livres,Alimentos,Alimentos industrializados,,0,1,0,0,0,0,0
1102029 Massa semipreparada,Livres,Alimentos,Alimentos industrializados,,0,1,0,0,0,0,0
1102061 Macarrão instantâneo,Livres,Alimentos,Alimentos industrializados,,0,1,0,0,0,0,0
1103002 Batata-doce,Livres,Alimentos,Alimentos in natura,,0,0,0,0,0,0,0
1103003 Batata-inglesa,Livres,Alimentos,Alimentos in natura,,0,0,0,0,0,0,0
1103004 Inhame,Livres,Alimentos,Alimentos in natura,,0,0,0,0,0,0,0
1103005 Mandioca (aipim),Livres,Alimentos,Alimentos in natura,,0,0,0,0,0,0,0
1103020 Abobrinha,Livres,Alimentos,Alimentos in natura,,0,0,0,0,0,0,0
1103025 Pepino,Livres,Alimentos,Alimentos in natura,,0,0,0,0,0,0,0
1103026 Pimentão,Livres,Alimentos,Alimentos in natura,,0,0,0,0,0,0,0
1103028 Tomate,Livres,Alimentos,Alimentos in natura,,0,0,0,0,0,0,0
1103043 Cebola,Livres,Alimentos,Alimentos in natura,,0,0,0,0,0,0,0
1103044 Cenoura,Livres,Alimentos,Alimentos in natura,,0,0,0,0,0,0,0
1104003 Açúcar refinado,Livres,Alimentos,Alimentos industrializados,,0,0,0,0,0,0,0
1104004 Açúcar cristal,Livres,Alimentos,Alimentos industrializados,,0,0,0,0,0,0,0
1104018 Balas,Livres,Alimentos,Alimentos industrializados,,0,0,0,0,0,0,0
1104023 Chocolate em barra e bombom,Livres,Alimentos,Alimentos industrializados,,0,0,0,0,0,0,0
1104032 Sorvete,Livres,Alimentos,Alimentos industrializados,,0,0,0,0,0,0,0
1104052 Chocolate e achocolatado em pó,Livres,Alimentos,Alimentos industrializados,,0,0,0,0,0,0,0
