month,n_documents,n_claims,fiscal_br,monetary_br,politics_br,global_usd,commodities,risk_sentiment,china_em,trade_policy,capital_flows
2019-07,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05,1,2,0.0,0.0,0.0,0.0,0.5,0.6,0.0,0.0,0.0
2020-06,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08,1,1,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
