month,n_documents,n_claims,fiscal_br,monetary_br,politics_br,global_usd,commodities,risk_sentiment,china_em,trade_policy,capital_flows
2021-05,4,3,0.0,-0.5,-0.5,0.0,0.4,0.0,0.0,0.0,0.0
2021-06,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10,2,1,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11,3,2,0.0,0.5,0.0,-0.5,0.0,0.0,0.0,0.0,0.0
2021-12,1,2,0.0,0.5,0.0,-0.6,0.0,0.0,0.0,0.0,0.0
2022-01,3,2,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
2022-02,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03,2,3,0.0,0.6,0.0,0.0,0.6,0.5,0.0,0.0,0.0
2022-04,2,1,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0
2022-05,2,1,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0
2022-06,2,1,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0
2022-07,2,2,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
2022-08,2,1,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0
2022-09,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10,3,4,0.0,0.5,0.0,-0.6,0.5,0.0,0.0,0.0,0.5
2022-11,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01,3,3,0.0,0.0,0.0,0.4,0.0,0.0,0.5,0.0,0.0
2023-02,2,1,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0
2023-03,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04,3,1,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0
2023-05,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06,2,1,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0
2023-07,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08,3,2,0.0,-0.5,0.0,-0.5,0.0,0.0,0.0,0.0,0.0
2023-09,2,2,-0.4,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0
2023-10,2,2,0.0,-0.4,0.0,-0.5,0.0,0.0,0.0,0.0,0.0
2023-11,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12,2,2,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0
2024-01,2,3,-0.7,0.7,0.0,-0.5,0.0,0.0,0.0,0.0,0.0
2024-02,2,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
2024-03,2,2,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0
