nro,reuniao,alvo,tipo,t0,ancora,anc_doc,anc_dias,real,revisao,delta_modelo,previsto,erro,erro_ingenuo,delta_focus,erro_focus,rr,rr_antes,nivel_modelo,h0,h0_vintage,piA_4t,selic_fim
264,2024-07-31,2026Q1,expansao,2024Q2,3.3,relatorio,34,3.4,0.1,0.0069,3.3069,-0.0931,-0.1,0.0229,-0.0771,4.75,4.75,3.4449,0.01,2024-06-01,3.877,9.5
265,2024-09-18,2026Q1,revisao,2024Q2,3.4,comunicado,49,3.5,0.1,-0.0663,3.3337,-0.1663,-0.1,0.0576,-0.0424,4.75,4.75,3.3785,0.52,2024-09-01,3.842,10.16
266,2024-11-06,2026Q2,expansao,2024Q3,3.5,relatorio,41,3.6,0.1,0.091,3.591,-0.009,-0.1,0.0267,-0.0733,4.75,4.75,3.3683,0.51,2024-09-01,3.672,10.62
267,2024-12-11,2026Q2,revisao,2024Q3,3.6,comunicado,35,4.0,0.4,-0.0884,3.5116,-0.4884,-0.4,0.3104,-0.0896,5.0,4.75,3.2799,0.74,2024-12-01,3.868,12.37
268,2025-01-29,2026Q3,expansao,2024Q4,3.8,relatorio,41,4.0,0.2,0.2404,4.0404,0.0404,-0.2,0.2858,0.0858,5.0,5.0,3.3243,0.67,2024-12-01,4.021,13.31
269,2025-03-19,2026Q3,revisao,2024Q4,4.0,comunicado,49,3.9,-0.1,-0.0045,3.9955,0.0955,0.1,0.108,0.208,5.0,5.0,3.3197,0.85,2025-03-01,3.877,13.2
270,2025-05-07,2026Q4,expansao,2025Q1,3.7,relatorio,41,3.6,-0.1,0.5106,4.2106,0.6106,0.1,0.0957,0.1957,5.0,5.0,3.7673,0.57,2025-03-01,4.147,12.6
271,2025-06-18,2026Q4,revisao,2025Q1,3.6,comunicado,42,3.6,0.0,0.0224,3.6224,0.0224,0.0,-0.0011,-0.0011,5.0,5.0,3.7896,0.86,2025-06-01,4.253,12.69
272,2025-07-30,2027Q1,expansao,2025Q2,3.4,relatorio,34,3.4,0.0,-0.0245,3.3755,-0.0245,0.0,-0.0911,-0.0911,5.0,5.0,3.6307,0.5,2025-06-01,4.186,12.13
273,2025-09-17,2027Q1,revisao,2025Q2,3.4,comunicado,49,3.4,0.0,-0.025,3.375,-0.025,0.0,-0.0867,-0.0867,5.0,5.0,3.6057,0.67,2025-09-01,4.034,12.02
274,2025-11-05,2027Q2,expansao,2025Q3,3.4,relatorio,41,3.3,-0.1,-0.093,3.307,0.007,0.1,-0.1083,-0.0083,5.0,5.0,3.4285,0.49,2025-09-01,3.691,11.27
275,2025-12-10,2027Q2,revisao,2025Q3,3.3,comunicado,35,3.2,-0.1,-0.061,3.239,0.039,0.1,-0.0487,0.0513,5.0,5.0,3.3675,0.54,2025-12-01,3.451,11.27
276,2026-01-28,2027Q3,expansao,2025Q4,3.2,relatorio,41,3.2,0.0,-0.0974,3.1026,-0.0974,0.0,-0.0443,-0.0443,5.0,5.0,3.1032,0.17,2025-12-01,3.164,10.94
277,2026-03-18,2027Q3,revisao,2025Q4,3.2,comunicado,49,3.3,0.1,-0.0714,3.1286,-0.1714,-0.1,-0.0534,-0.1534,5.0,5.0,3.0318,0.385,2026-03-01,2.887,11.07
278,2026-04-29,2027Q4,expansao,2026Q1,3.3,relatorio,34,3.5,0.2,0.0614,3.3614,-0.1386,-0.2,0.1143,-0.0857,5.0,5.0,3.1879,0.1324,2026-03-01,3.746,11.07
279,2026-06-17,2027Q4,revisao,2026Q1,3.5,comunicado,49,3.7,0.2,-0.0681,3.4319,-0.2681,-0.2,0.164,-0.036,5.0,5.0,3.1198,0.49,2026-06-01,3.777,12.07
280,2026-08-05,2028Q1,expansao,2026Q2,3.2,relatorio,41,3.2,0.0,0.173,3.373,0.173,0.0,0.0559,0.0559,5.0,5.0,3.2396,0.36,2026-06-01,3.764,11.94
