,selic,i_e,r_hat,h,s_h,pi_L,pi_IPCA,de,de_hat,pi_e,pi_A,rr_IS_total,ipca_4t
2026Q3,13.25,13.45,1.7193987725304547,0.1111230840962146,0.06977926511598452,1.1100631841308384,1.0262404748651792,2.5245627295237734,2.2745627295237734,3.923155052220903,0.75,7.807446175248642,4.357977755094264
2026Q4,13.25,13.61,2.0108701931802715,-0.027215680462802067,0.056799889481086885,1.0004474098908733,0.9421432528682779,0.25,0.0,3.791683631571085,0.75,7.807446175248642,4.680933301544631
2027Q1,13.25,13.738,2.2505775469497076,-0.1711322491225007,0.04623475812909707,0.9419193839531035,0.897240551368821,0.25,0.0,3.6799762778016496,0.75,7.807446175248642,4.339269295351281
2027Q2,13.25,13.8404,2.4811651735690363,-0.31163276593763495,0.03763480666574006,0.8903370276471954,0.8576665676109283,0.25,0.0,3.551788651182322,0.75,7.807446175248642,3.7232908467132066
2027Q3,13.45,13.92232,2.7135778584786285,-0.44703410416490924,0.03063449945629235,0.8333100830930942,0.8139154957490218,-0.1399250393469314,-0.3899250393469314,3.401295966272729,0.75,7.807446175248642,3.510965867597049
2027Q4,13.61,13.987856,2.9240683677579584,-0.5775690548005624,0.024936292758795865,0.780710252169185,0.7735609054641986,-0.06194003147754651,-0.3119400314775465,3.256341456993401,0.75,7.807446175248642,3.3423835201929695
2028Q1,13.738,14.0402848,3.1136075605208235,-0.7010988138829684,0.020297987810754096,0.7328231751734908,0.7368219399931021,0.0004479748179627985,-0.2495520251820372,3.1192310642305343,0.75,7.807446175248642,3.1819649088172506
2028Q2,13.8404,14.08222784,3.2849705817140444,-0.8163475963650559,0.01652243632005775,0.6881205558779697,0.7025260904695784,0.05035837985436817,-0.19964162014563183,2.989811083037313,0.75,7.807446175248642,3.0268244316759008
2028Q3,13.92232,14.115782272,3.4405455695599523,-0.9228333426164931,0.013449160798378738,0.6461661642231794,0.6703386811920232,0.09028670388349938,-0.15971329611650062,2.867790527191407,0.75,7.807446175248642,2.8832476171189025
2028Q4,13.987856,14.1426258176,3.581962366222883,-1.020587887691345,0.01094753356446982,0.6069463282120976,0.6402492230043213,0.12222936310679397,-0.12777063689320603,2.7532172761284754,0.75,7.807446175248642,2.7499359346590246
2029Q1,14.0402848,14.16410065408,3.7106510921579963,-1.1099162367424897,0.008911224495110559,0.5704081501106597,0.6122171327648981,0.14778349048543865,-0.10221650951456135,2.6460033866733625,0.75,7.807446175248642,2.6253311274308206
2029Q2,14.08222784,14.181280523264,3.827893446214884,-1.1912836016157033,0.007253681528776769,0.5364522118037026,0.5861661368958007,0.16822679238835092,-0.08177320761164908,2.545940901800474,0.75,7.807446175248642,2.5089711738570433
2029Q3,14.115782272,14.181280523264,3.9210539715297044,-1.2652412874915153,0.005904451823628363,0.5049680782692418,0.5620115096481624,0.18458143391067866,-0.06541856608932134,2.452780376485654,0.75,7.807446175248642,2.4006440023131823
2029Q4,14.1426258176,14.181280523264,4.007591528322313,-1.3308949791698885,0.004806187202904038,0.47594217060691174,0.5397428332896227,0.1976651471285436,-0.052334852871456394,2.3662428196930465,0.75,7.807446175248642,2.300137612598484
2030Q1,14.16410065408,14.181280523264,4.0878254457017364,-1.3895085484469494,0.003912206606025559,0.44922576911359335,0.5192460100639488,0.20813211770283627,-0.04186788229716373,2.2860089023136227,0.75,7.807446175248642,2.2071664898975345
2030Q2,14.181280523264,14.181280523264,4.16209327543297,-1.4420863813953386,0.003184511938898693,0.42464956457938047,0.5003911459453007,0.21650569416226834,-0.033494305837731664,2.2117410725823876,0.75,7.807446175248642,2.1213914989470344
