,selic,i_e,r_hat,h,s_h,pi_L,pi_IPCA,de,de_hat,pi_e,pi_A,rr_IS_total,ipca_4t
2026Q3,13.25,13.45,1.6057875368725698,0.1111230840962146,0.06977926511598452,1.1297079772921714,1.0413119601785539,2.5245627295237734,2.2745627295237734,4.0367662878787876,0.75,7.807446175248642,4.3730492404076395
2026Q4,13.25,13.61,1.913897006569539,-0.015003188082125363,0.056799889481086885,1.0232748464415984,0.9596564621899942,0.25,0.0,3.8886568181818184,0.75,7.807446175248642,4.713517996179722
2027Q1,13.25,13.738,2.1900064762665084,-0.1517019478857487,0.04623475812909707,0.960007861049137,0.9111180309968979,0.25,0.0,3.7405473484848484,0.75,7.807446175248642,4.385731469614449
2027Q2,13.25,13.8404,2.4405159459634804,-0.29079257639958966,0.03763480666574006,0.9040634387470796,0.8681974702067594,0.25,0.0,3.592437878787879,0.75,7.807446175248642,3.780283923572205
2027Q3,13.45,13.92232,2.670545415660448,-0.42729564302662093,0.03063449945629235,0.84640453054528,0.8239615558343387,-0.1399250393469314,-0.3899250393469314,3.444328409090909,0.75,7.807446175248642,3.56293351922799
2027Q4,13.61,13.987856,2.8841908853574205,-0.5583868999504086,0.024936292758795865,0.7929912390901903,0.7829828786299939,-0.06194003147754651,-0.3119400314775465,3.296218939393939,0.75,7.807446175248642,3.38625993566799
2028Q1,13.738,14.0402848,3.084729155054389,-0.6826660542209626,0.020297987810754096,0.7428330943129726,0.7445015499569125,0.0004479748179627985,-0.2495520251820372,3.1481094696969696,0.75,7.807446175248642,3.2196434546280046
2028Q2,13.8404,14.08222784,3.274781664751358,-0.7996498214619309,0.01652243632005775,0.6941151914616364,0.7071251748893674,0.05035837985436817,-0.19964162014563183,3.0,0.75,7.807446175248642,3.0585711593106124
2028Q3,13.92232,14.115782272,3.3083360967513586,-0.9094240617981791,0.013449160798378738,0.6719266224548655,0.6901021047473728,0.09028670388349938,-0.15971329611650062,3.0,0.75,7.807446175248642,2.924711708223647
2028Q4,13.987856,14.1426258176,3.335179642351359,-0.9964873171506997,0.01094753356446982,0.6584284433657182,0.6797463017501789,0.12222936310679397,-0.12777063689320603,3.0,0.75,7.807446175248642,2.8214751313438318
2029Q1,14.0402848,14.16410065408,3.3566544788313584,-1.0656153036677094,0.008911224495110559,0.6487999576510775,0.6723593275099066,0.14778349048543865,-0.10221650951456135,3.0,0.75,7.807446175248642,2.7493329088968257
2029Q2,14.08222784,14.181280523264,3.3738343480153583,-1.1205607759115384,0.007253681528776769,0.6415612031365092,0.6668057550463299,0.16822679238835092,-0.08177320761164908,3.0,0.75,7.807446175248642,2.7090134890537882
2029Q3,14.115782272,14.181280523264,3.3738343480153583,-1.1642771350124976,0.005904451823628363,0.6361405511581197,0.6626470308485095,0.18458143391067866,-0.06541856608932134,3.0,0.75,7.807446175248642,2.6815584151549245
2029Q4,14.1426258176,14.181280523264,3.3738343480153583,-1.1976147153940797,0.004806187202904038,0.6320785615845602,0.6595306724476746,0.1976651471285436,-0.052334852871456394,3.0,0.75,7.807446175248642,2.661342785852421
2030Q1,14.16410065408,14.181280523264,3.3738343480153583,-1.2230940183446033,0.003912206606025559,0.6290064482909306,0.6571737471288019,0.20813211770283627,-0.04186788229716373,3.0,0.75,7.807446175248642,2.646157205471316
2030Q2,14.181280523264,14.181280523264,3.3738343480153583,-1.2426118252278786,0.003184511938898693,0.6266683146562327,0.6553799310042617,0.21650569416226834,-0.033494305837731664,3.0,0.75,7.807446175248642,2.6347313814292477
