,selic,i_e,r_hat,h,s_h,pi_L,pi_IPCA,de,de_hat,pi_e,pi_A,rr_IS_total,ipca_4t
2026Q3,14.25,14.25,2.5340842827193475,0.1111230840962146,0.06977926511598452,1.107523877094357,1.0242923185067907,0.5749375327891095,0.32493753278910953,3.908469542032011,0.75,7.807446175248642,4.356029598735876
2026Q4,14.25,14.25,2.678234339595094,-0.11478924242800947,0.056799889481086885,0.9840953459298775,0.9295979493974019,0.25,0.0,3.7643194851562636,0.75,7.807446175248642,4.666439841715366
2027Q1,14.25,14.25,2.8011532142359643,-0.30745219118732897,0.04623475812909707,0.921277067778363,0.8814037663995601,0.25,0.0,3.641400610515394,0.75,7.807446175248642,4.308939050552756
2027Q2,14.25,14.25,2.9389674170074693,-0.4713474657200827,0.03763480666574006,0.8650743780298856,0.8382850628245282,0.25,0.0,3.5035864077438896,0.75,7.807446175248642,3.6735790971282807
2027Q3,14.25,14.25,3.0975439761372874,-0.614029076700696,0.03063449945629235,0.8046990473109723,0.7919651090969779,0.25,0.0,3.345009848614071,0.75,7.807446175248642,3.441251887718468
2027Q4,14.25,14.25,3.2492166347929823,-0.7419960602968061,0.024936292758795865,0.7509506627211866,0.7507293484396943,0.25,0.0,3.1933371899583753,0.75,7.807446175248642,3.2623832867607603
2028Q1,14.25,14.25,3.391307866282207,-0.857309483201631,0.020297987810754096,0.7021601342237678,0.7132972549764746,0.25,0.0,3.0512459584691505,0.75,7.807446175248642,3.0942767753376748
2028Q2,14.25,14.25,3.5241185924552747,-0.9613986424595264,0.01652243632005775,0.6571723288536802,0.6787826106965434,0.25,0.0,2.918435232296084,0.75,7.807446175248642,2.93477432320969
2028Q3,14.25,14.25,3.64808735312623,-1.0555104203209502,0.013449160798378738,0.6155005814710198,0.6468120461045664,0.25,0.0,2.7944664716251277,0.75,7.807446175248642,2.7896212602172787
2028Q4,14.25,14.25,3.763379174779966,-1.140742117638428,0.01094753356446982,0.5769929859393217,0.6172690188126476,0.25,0.0,2.6791746499713924,0.75,7.807446175248642,2.6561609305902323
2029Q1,14.25,14.25,3.8703595895191905,-1.2180270255943058,0.008911224495110559,0.5414459048092359,0.5899972981696459,0.25,0.0,2.572194235232168,0.75,7.807446175248642,2.532860973783403
2029Q2,14.25,14.25,3.9694756869542553,-1.2881792588927823,0.007253681528776769,0.5086520762120448,0.5648378728698807,0.25,0.0,2.4730781377971036,0.75,7.807446175248642,2.4189162359567407
2029Q3,14.25,14.25,4.061191115508772,-1.3519177113708878,0.005904451823628363,0.47841701646808205,0.5416415350343126,0.25,0.0,2.381362709242586,0.75,7.807446175248642,2.3137457248864868
2029Q4,14.25,14.25,4.145964432216229,-1.4098797300444013,0.004806187202904038,0.45055915904856475,0.5202689868220589,0.25,0.0,2.2965893925351293,0.75,7.807446175248642,2.216745692895898
2030Q1,14.25,14.25,4.224245512598391,-1.4626313095361883,0.003912206606025559,0.42490644898267005,0.5005882276595045,0.25,0.0,2.2183083121529674,0.75,7.807446175248642,2.127336622385757
2030Q2,14.25,14.25,4.296470834124549,-1.5106762083517604,0.003184511938898693,0.40129628542608153,0.48247451017888976,0.25,0.0,2.1460829906268084,0.75,7.807446175248642,2.044973259694766
