,selic,i_e,r_hat,h,s_h,pi_L,pi_IPCA,de,de_hat,pi_e,pi_A,rr_IS_total,ipca_4t
2026Q3,14.25,14.25,2.2576780671756014,0.1111230840962146,0.06977926511598452,1.1553179434243352,1.0609599261951501,0.5749375327891095,0.32493753278910953,4.184875757575758,0.75,7.807446175248642,4.392697206424236
2026Q4,14.25,14.25,2.2576780671756014,-0.08507731489062592,0.056799889481086885,1.0715571481124746,0.9966986440318905,0.25,0.0,4.184875757575758,0.75,7.807446175248642,4.7702081440382145
2027Q1,14.25,14.25,2.2576780671756014,-0.24033351259457514,0.04623475812909707,1.0436246372004407,0.9752688216601781,0.25,0.0,4.184875757575758,0.75,7.807446175248642,4.506572408136222
2027Q2,14.25,14.25,2.2576780671756014,-0.3634295859798949,0.03763480666574006,1.0242693729180172,0.9604194629027027,0.25,0.0,4.184875757575758,0.75,7.807446175248642,3.9933468547899214
2027Q3,14.25,14.25,2.2576780671756014,-0.46120902622798415,0.03063449945629235,1.0055023805995242,0.946021426395955,0.25,0.0,4.184875757575758,0.75,7.807446175248642,3.8784083549907264
2027Q4,14.25,14.25,2.2576780671756014,-0.5390162171571726,0.024936292758795865,0.9936855669266474,0.9369555669461239,0.25,0.0,4.184875757575758,0.75,7.807446175248642,3.8186652779049597
2028Q1,14.25,14.25,2.2576780671756014,-0.601034657331901,0.020297987810754096,0.9854967673238568,0.9306731198908629,0.25,0.0,4.184875757575758,0.75,7.807446175248642,3.774069576135645
2028Q2,14.25,14.25,2.2576780671756014,-0.6505466817793546,0.01652243632005775,0.9793177566398492,0.9259325828940923,0.25,0.0,4.184875757575758,0.75,7.807446175248642,3.7395826961270346
2028Q3,14.25,14.25,2.2576780671756014,-0.6901333775159785,0.013449160798378738,0.9744868412306791,0.9222263045921769,0.25,0.0,4.184875757575758,0.75,7.807446175248642,3.715787574323256
2028Q4,14.25,14.25,2.2576780671756014,-0.7218288353896857,0.01094753356446982,0.9707001745323678,0.9193211739012326,0.25,0.0,4.184875757575758,0.75,7.807446175248642,3.698153181278365
2029Q1,14.25,14.25,2.2576780671756014,-0.7472394577730963,0.008911224495110559,0.9677058312871724,0.9170239137635186,0.25,0.0,4.184875757575758,0.75,7.807446175248642,3.6845039751510202
2029Q2,14.25,14.25,2.2576780671756014,-0.7676364633924558,0.007253681528776769,0.9653206210519409,0.915193980471049,0.25,0.0,4.184875757575758,0.75,7.807446175248642,3.6737653727279773
2029Q3,14.25,14.25,2.2576780671756014,-0.7840277853088949,0.005904451823628363,0.963412307253989,0.9137299221252603,0.25,0.0,4.184875757575758,0.75,7.807446175248642,3.6652689902610605
2029Q4,14.25,14.25,2.2576780671756014,-0.7972140877687618,0.004806187202904038,0.9618817299961365,0.9125556632530359,0.25,0.0,4.184875757575758,0.75,7.807446175248642,3.6585034796128637
2030Q1,14.25,14.25,2.2576780671756014,-0.8078325142587681,0.003912206606025559,0.9606518018317679,0.9116120623653323,0.25,0.0,4.184875757575758,0.75,7.807446175248642,3.6530916282146775
2030Q2,14.25,14.25,2.2576780671756014,-0.816390934346193,0.003184511938898693,0.9596619838942978,0.9108526740437053,0.25,0.0,4.184875757575758,0.75,7.807446175248642,3.6487503217873343
