,selic,i_e,r_hat,h,s_h,pi_L,pi_IPCA,de,de_hat,pi_e,pi_A,rr_IS_total,ipca_4t
2026Q3,14.25,14.25,2.4057875368725705,0.1111230840962146,0.06977926511598452,1.1297079772921714,1.0413119601785539,0.5749375327891095,0.32493753278910953,4.0367662878787876,0.75,7.807446175248642,4.3730492404076395
2026Q4,14.25,14.25,2.5538970065695397,-0.10099815018219044,0.056799889481086885,1.0124376494712546,0.9513421646743465,0.25,0.0,3.8886568181818184,0.75,7.807446175248642,4.705203698664074
2027Q1,14.25,14.25,2.702006476266509,-0.2839162532644417,0.04623475812909707,0.9478110129504738,0.9017606091356034,0.25,0.0,3.7405473484848484,0.75,7.807446175248642,4.368059750237507
2027Q2,14.25,14.25,2.8501159459634797,-0.4433328686044199,0.03763480666574006,0.8899600337088546,0.8573773378614332,0.25,0.0,3.592437878787879,0.75,7.807446175248642,3.751792071849937
2027Q3,14.25,14.25,2.998225415660449,-0.5838182983692347,0.03063449945629235,0.8313889970353591,0.8124416385255274,0.25,0.0,3.444328409090909,0.75,7.807446175248642,3.5229217501969106
2027Q4,14.25,14.25,3.14633488535742,-0.7090405274290198,0.024936292758795865,0.778955864312121,0.7722149391002593,0.25,0.0,3.296218939393939,0.75,7.807446175248642,3.3437945246228233
2028Q1,14.25,14.25,3.294444355054389,-0.8219467676092582,0.020297987810754096,0.7296254085648202,0.73436861345093,0.25,0.0,3.1481094696969696,0.75,7.807446175248642,3.1764025289381497
2028Q2,14.25,14.25,3.442553824751358,-0.9249076348606176,0.01652243632005775,0.6819442957604064,0.6977876637073838,0.25,0.0,3.0,0.75,7.807446175248642,3.0168128547841
2028Q3,14.25,14.25,3.442553824751358,-1.0198318546443372,0.013449160798378738,0.6609651247246439,0.6816924436887467,0.25,0.0,3.0,0.75,7.807446175248642,2.8860636599473195
2028Q4,14.25,14.25,3.442553824751358,-1.092336838925728,0.01094753356446982,0.6487460848725773,0.6723179963142414,0.25,0.0,3.0,0.75,7.807446175248642,2.7861667171613016
2029Q1,14.25,14.25,3.442553824751358,-1.1478430876368007,0.008911224495110559,0.6403710217433491,0.6658926478814975,0.25,0.0,3.0,0.75,7.807446175248642,2.717690751591869
2029Q2,14.25,14.25,3.442553824751358,-1.1904345856647693,0.007253681528776769,0.6343097441402586,0.6612424357044064,0.25,0.0,3.0,0.75,7.807446175248642,2.681145523588892
2029Q3,14.25,14.25,3.442553824751358,-1.2231935846620152,0.005904451823628363,0.6299626771235051,0.6579073658891531,0.25,0.0,3.0,0.75,7.807446175248642,2.6573604457892985
2029Q4,14.25,14.25,3.442553824751358,-1.2484504877055507,0.004806187202904038,0.6267534665863288,0.6554452595650314,0.25,0.0,3.0,0.75,7.807446175248642,2.6404877090400887
2030Q1,14.25,14.25,3.442553824751358,-1.2679705682134812,0.003912206606025559,0.6243318797156652,0.6535874181178584,0.25,0.0,3.0,0.75,7.807446175248642,2.6281824792764494
2030Q2,14.25,14.25,3.442553824751358,-1.283093652892827,0.003184511938898693,0.622482603011903,0.6521686530307319,0.25,0.0,3.0,0.75,7.807446175248642,2.619108696602775
