,selic_choque,ipca_4t_so_demanda,h_so_demanda,pi_L_so_demanda,pi_e_so_demanda,de_so_demanda,ipca_4t_com_expectativa,h_com_expectativa,pi_L_com_expectativa,pi_e_com_expectativa,de_com_expectativa,ipca_4t_completo,h_completo,pi_L_completo,pi_e_completo,de_completo,ipca_4t_motor_bcb,ipca_4t,h,pi_L,publicado_so_demanda,publicado_sem_cambio,publicado_completo
0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022446892297267595,0.0,-0.002925820163877324,-0.016920821787277607,0.0,-0.0024175373107713227,0.0,-0.0031511174540816977,-0.01822377791006735,0.0,-0.0008963922367666299,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,-0.005819268415032219,-0.10749370262508123,-0.007585073533670661,0.0,0.0,-0.013126821691949786,-0.10931258441045488,-0.014184218537829363,-0.03294532713573384,0.0,-0.013647059292781094,-0.10945264398845145,-0.014637020310232063,-0.0351620985956127,-1.9496251967346638,-0.013291614598696988,-0.005819268415032219,-0.10749370262508123,-0.007585073533670661,0.0,0.0,-0.09
2,1.0,-0.016305915243490787,-0.1652678817233662,-0.013668726314466029,0.0,0.0,-0.0315282045622336,-0.17015065986688388,-0.023985118444061926,-0.0473962218620021,0.0,-0.03607226413424236,-0.17049223797497431,-0.02922993331785828,-0.049301390719539206,0.0,-0.037162016426114164,-0.016305915243490787,-0.1652678817233662,-0.013668726314466029,-0.01,-0.02,-0.15
3,1.0,-0.029463394923916475,-0.19067536525603762,-0.017149999583454756,0.0,0.0,-0.05528835765400819,-0.19937104208009848,-0.03096995971294947,-0.060017866625493355,0.0,-0.06111735648266814,-0.1998277378763953,-0.03264480233110756,-0.06145124134454827,0.0,-0.07081943971658244,-0.029463394923916475,-0.19067536525603762,-0.017149999583454756,-0.04,-0.05,-0.2
4,1.0,-0.04369430259456086,-0.19543833177301684,-0.018549149727117298,0.0,0.0,-0.08032528760899016,-0.2083026379548527,-0.035559983296022835,-0.07078965931767334,0.0,-0.08651058561759184,-0.2087935141998828,-0.036249695575723884,-0.07165956752621838,0.0,-0.11180808317661795,-0.04369430259456086,-0.19543833177301684,-0.018549149727117298,-0.07,-0.08,-0.27
5,0.8,-0.05213482832319771,-0.18820148599006725,-0.018586801542842646,0.0,0.0,-0.09889929707955858,-0.20529791325733449,-0.03839434558497168,-0.07969977442327414,0.0,-0.10499519388163181,-0.20575342730970503,-0.038730618151785356,-0.07996045939517282,0.38992503934693135,-0.14836752644144502,-0.05213482832319771,-0.18820148599006725,-0.018586801542842646,-0.11,-0.13,-0.23
6,0.64,-0.05524851330269431,-0.17426506417355414,-0.0177272312408171,0.0,0.0,-0.1110715593491598,-0.1954403168813319,-0.0398509451771194,-0.08652547207414196,0.0,-0.11253205696232227,-0.19580426486778713,-0.03905379030520295,-0.08631145258775108,0.31194003147754645,-0.1789542503754471,-0.05524851330269431,-0.17426506417355414,-0.0177272312408171,-0.15,-0.17,-0.24
7,0.51,-0.054592324804719095,-0.15646287179345997,-0.016294696536040987,0.0,0.0,-0.1181621537736035,-0.1813798379102487,-0.04021213179903371,-0.0912578856171744,0.0,-0.11752384649992509,-0.18162523132310593,-0.039151305899411515,-0.09049328821094349,0.25345127557550784,-0.2036797036150615,-0.054592324804719095,-0.15646287179345997,-0.016294696536040987,-0.18,-0.21,-0.24
8,0.41,-0.05157482507858546,-0.13795968023622618,-0.014616016611718963,0.0,0.0,-0.12142213276620861,-0.16614473633929383,-0.039809173849470136,-0.0940586094374396,0.0,-0.11940783339260497,-0.1662435161602862,-0.03870536149423209,-0.09282973929054572,0.19496251967346567,-0.2228100431910951,-0.05157482507858546,-0.13795968023622618,-0.014616016611718963,-0.2,-0.24,-0.24
9,0.33,-0.047198234971985276,-0.12001446285004014,-0.012882174188045825,0.0,0.0,-0.12178650143995151,-0.15091068342550296,-0.03886927868421952,-0.09517692445338533,0.0,-0.11869744640564006,-0.15085143435409454,-0.03780467056710812,-0.09358274975859615,0.15597001573877323,-0.23643704571378832,-0.047198234971985276,-0.12001446285004014,-0.012882174188045825,-0.21,-0.26,-0.24
