,Focus,NTN-B,Externas,AF. e BF.,Modelos BC
2003Q4,9.16,,,,
2004Q1,8.73,,,,
2004Q2,8.63,,,,
2004Q3,8.87,,,,
2004Q4,9.13,,,,
2005Q1,9.08,,,,
2005Q2,8.98,,5.21,7.77,7.0
2005Q3,8.82,,4.91,7.62,6.81
2005Q4,8.61,,4.64,7.43,6.85
2006Q1,8.28,,4.4,7.12,6.86
2006Q2,8.01,,4.31,6.87,6.79
2006Q3,7.82,,4.23,6.71,6.81
2006Q4,7.29,,4.15,6.12,6.75
2007Q1,6.95,5.4,4.07,5.82,6.72
2007Q2,6.43,5.46,4.0,5.34,6.61
2007Q3,6.18,5.38,3.93,5.13,6.56
2007Q4,6.09,5.53,3.86,5.08,6.49
2008Q1,6.13,5.21,3.8,5.17,6.25
2008Q2,6.25,5.34,3.74,5.34,6.08
2008Q3,6.36,5.25,3.68,5.64,5.84
2008Q4,6.07,5.2,3.62,5.4,5.32
2009Q1,5.83,5.51,3.56,5.16,5.31
2009Q2,5.5,5.62,3.5,4.86,5.59
2009Q3,5.34,5.64,3.44,4.76,5.83
2009Q4,5.53,5.61,3.38,5.14,5.96
2010Q1,5.47,5.61,3.31,5.13,5.97
2010Q2,5.39,5.56,3.25,5.1,5.86
2010Q3,5.33,5.6,3.18,5.08,5.77
2010Q4,5.25,5.63,3.12,5.05,5.62
2011Q1,5.15,5.57,3.06,4.98,5.42
2011Q2,5.13,5.55,3.0,4.98,5.16
2011Q3,5.11,5.67,2.94,5.0,4.99
2011Q4,4.97,5.85,2.89,4.9,4.82
2012Q1,4.68,5.88,2.83,4.65,4.61
2012Q2,4.21,5.96,2.78,4.12,4.6
2012Q3,4.06,6.04,2.74,3.96,4.52
2012Q4,3.92,6.16,2.69,3.8,4.38
2013Q1,3.83,6.08,2.65,3.69,4.27
2013Q2,3.9,5.96,2.62,3.73,4.26
2013Q3,3.98,5.84,2.59,3.78,4.1
2013Q4,4.25,5.76,2.57,4.02,3.88
2014Q1,4.52,5.71,2.56,4.4,3.67
2014Q2,4.67,5.71,2.55,4.52,3.41
2014Q3,4.63,5.71,2.55,4.46,3.24
2014Q4,4.61,5.66,2.56,4.41,3.03
2015Q1,4.78,5.65,2.58,4.56,2.79
2015Q2,4.94,5.58,2.6,4.7,2.57
2015Q3,5.05,5.53,2.63,4.82,2.51
2015Q4,5.1,5.56,2.67,4.88,2.54
2016Q1,5.24,5.65,2.71,5.05,2.59
2016Q2,4.99,5.62,2.76,4.85,2.63
2016Q3,4.82,5.6,2.81,4.73,2.68
2016Q4,4.47,5.62,2.87,4.45,2.77
2017Q1,4.19,5.7,2.94,4.23,2.9
2017Q2,4.02,5.76,3.01,4.08,2.93
2017Q3,3.81,5.88,3.08,3.89,2.91
2017Q4,3.7,5.95,3.16,3.86,2.87
2018Q1,3.61,5.98,3.24,3.85,2.88
2018Q2,3.51,5.95,3.32,3.85,2.89
2018Q3,3.51,5.86,3.41,3.95,2.84
2018Q4,3.47,5.94,3.49,3.95,2.82
2019Q1,3.41,6.0,3.56,3.91,2.79
2019Q2,3.21,6.04,3.64,3.72,2.7
2019Q3,3.0,6.15,3.71,3.47,2.61
2019Q4,2.79,6.28,3.77,3.27,2.52
2020Q1,2.69,6.24,3.83,3.16,2.4
2020Q2,2.52,6.23,3.89,2.95,2.39
2020Q3,2.67,6.36,3.94,3.06,3.11
2020Q4,2.77,6.32,3.98,3.09,3.34
2021Q1,2.87,6.23,4.01,3.12,3.44
2021Q2,3.17,6.14,4.04,3.35,3.53
2021Q3,3.44,5.96,4.07,3.53,3.66
2021Q4,3.73,5.75,4.08,3.73,3.81
2022Q1,3.95,5.68,4.1,3.88,3.94
2022Q2,4.18,5.68,4.11,4.03,4.16
2022Q3,4.45,5.59,4.11,4.23,4.37
2022Q4,4.73,5.57,4.11,4.44,4.42
2023Q1,4.84,5.62,4.12,4.49,4.47
2023Q2,4.96,5.66,4.11,4.57,4.43
2023Q3,5.14,5.72,4.11,4.72,4.34
2023Q4,5.14,5.69,4.15,4.71,4.29
2024Q1,5.19,5.7,4.2,4.7,4.34
2024Q2,5.35,5.63,4.26,4.82,4.36
