k,n_oos,lb_treino,rmse_ar,rmse_con,rmse_tvp,ganho_con,ganho_tvp,t_con,t_tvp,ganho_tvp_vs_con,H,MA
0,40,0.013368631628978105,0.85408729198991,0.880151278084587,0.8791830645069209,-3.051677075530712,-2.93831470768533,-1.750627234604793,-1.7231696508383847,0.11000535950742574,MM de r,8
1,40,0.3748979308704188,0.85408729198991,0.9023277339878158,1.0914761990440036,-5.648186368106711,-27.794454885402754,-1.6826327874236884,-0.7268715279730752,-20.96227988252679,MM de r,8
2,40,0.25884720403183015,0.85408729198991,0.9058634094319753,0.9753272119057609,-6.062157571907423,-14.195260959026568,-1.3180245558130415,-0.6474596507658742,-7.668242446986917,MM de r,8
3,40,0.0406158598837698,0.85408729198991,0.8787474587442955,0.8760773333792248,-2.8873122203856516,-2.5746831261335146,-0.6398401009327207,-0.6819667159554454,0.30385582780361187,MM de r,8
4,40,0.5429784690803081,0.85408729198991,0.8571221471985968,0.9949442356166269,-0.3553331418403527,-16.492101562422157,-0.14324457280562736,-0.9168021064652866,-16.079632158436862,MM de r,8
0,44,0.01936228113808956,0.8526674346846334,0.8663300792963136,0.8788459122371681,-1.6023415526281282,-3.0701861578913414,-0.8350522814686114,-1.2065161084042326,-1.4446956466085847,"Focus 3,5a",4
1,44,0.7864156977348044,0.8526674346846334,0.8655366049923079,1.0834067802749356,-1.5092836649067465,-27.060884021640085,-0.3780637218251677,-0.5990839212875421,-25.17168817886841,"Focus 3,5a",4
2,44,0.5429784690803081,0.8526674346846334,0.871510166808208,0.9073880165636964,-2.2098571326983896,-6.417576144361825,-0.4800403931608517,-0.2136932839959513,-4.1167448323507605,"Focus 3,5a",4
3,44,0.5429784690803081,0.8526674346846334,0.8604000290716011,1.047276981003306,-0.9068710815521852,-22.823616617966746,-0.28273540600658953,-0.5370679870615004,-21.71977517636199,"Focus 3,5a",4
4,44,0.5429784690803081,0.8526674346846334,0.8584743716355443,1.1658851937646166,-0.68103186713806,-36.73387141797313,-0.5070962520119048,-0.7443478890356011,-35.808969060241225,"Focus 3,5a",4
0,47,0.0,0.8356252283657145,0.8463180970969768,0.8463180970969768,-1.2796249285310646,-1.2796249285310646,-0.8211468755213971,-0.8211468755213971,0.0,"const 5,0 (RPM)",1
1,47,0.5429784690803081,0.8356252283657145,0.8405991367579442,1.030952366444959,-0.5952319560716735,-23.374968999111978,-0.2800582123745668,-0.5422775759413645,-22.64494708157523,"const 5,0 (RPM)",1
2,47,0.3748979308704188,0.8356252283657145,0.8425984261342746,0.912448934304304,-0.8344886597306367,-9.193559903503456,-0.46995998466117794,-0.2995706761592976,-8.289893026562357,"const 5,0 (RPM)",1
3,47,0.01936228113808956,0.8356252283657145,0.8417708353480715,0.867292301301437,-0.7354501484327258,-3.7896262416174054,-0.636496404581513,-0.920864813775824,-3.0318781408971374,"const 5,0 (RPM)",1
4,47,0.0,0.8356252283657145,0.8457952867993349,0.8457952867993349,-1.2170597641613323,-1.2170597641613323,-0.6414139971579157,-0.6414139971579157,0.0,"const 5,0 (RPM)",1
0,36,0.0,0.8976223346068345,0.9266263111689194,0.9266263111689194,-3.231200410670354,-3.231200410670354,-1.5867907540596051,-1.5867907540596051,0.0,media expandida de r,1
1,36,0.0,0.8976223346068345,0.9285789310448928,0.9285789310448928,-3.4487328628712843,-3.4487328628712843,-1.2814303198673724,-1.2814303198673724,0.0,media expandida de r,1
2,36,0.0406158598837698,0.8976223346068345,0.9313986736008388,0.9547333221315636,-3.7628674880063606,-6.36247398520271,-1.351176379978475,-0.7754612640856564,-2.5053340950671243,media expandida de r,1
3,36,0.08519905595487026,0.8976223346068345,0.9256311781474941,1.0055548815155584,-3.1203371909108713,-12.02427153909882,-1.0131608517483055,-0.6576746294375049,-8.634508566146092,media expandida de r,1
4,36,0.3748979308704188,0.8976223346068345,0.9303261938920503,1.1977574593536935,-3.643387427468636,-33.43668190679776,-0.7419128355584845,-0.6891538188075508,-28.745967513054293,media expandida de r,1
0,35,0.0,0.908913532356919,0.9355211211424038,0.9355211211424038,-2.9274059454795776,-2.9274059454795776,-1.6698000526259862,-1.6698000526259862,0.0,NTN-B fwd 5-20a,4
1,35,0.25884720403183015,0.908913532356919,0.9354574751279651,1.1720090898424245,-2.920403517616754,-28.946159136091644,-0.9568204744421335,-0.6529467778187087,-25.28726542936659,NTN-B fwd 5-20a,4
2,35,0.3748979308704188,0.908913532356919,0.9439449899203525,1.061620027041893,-3.854212344335206,-16.800992531048387,-1.2088278906861902,-0.461305711762414,-12.466302419960895,NTN-B fwd 5-20a,4
3,35,0.17872031163131377,0.908913532356919,0.9312585381446413,1.0295913907001588,-2.458430311822868,-13.277154981982498,-1.179833189982373,-0.5892027503654981,-10.559135677985543,NTN-B fwd 5-20a,4
4,35,0.17872031163131377,0.908913532356919,0.9363435368432194,1.0303738618463754,-3.0178893271806784,-13.363243605197027,-0.7321727524259783,-0.6187045531388256,-10.042289106855918,NTN-B fwd 5-20a,4
0,27,0.5429784690803081,1.0428326845925064,1.1186623618922547,1.2064057877419045,-7.271509458814007,-15.685459955957871,-1.5421654404868217,-0.3844295404535811,-7.843602219818058,NTN-B fwd - premio,1
1,27,0.5429784690803081,1.0428326845925064,1.0824303347765833,1.6322815845579504,-3.7971240036027476,-56.523822917554114,-1.1900164956377488,-0.7858383907936215,-50.79784186710343,NTN-B fwd - premio,1
2,27,0.25884720403183015,1.0428326845925064,1.061051271583828,1.2614351005902962,-1.747028766981984,-20.962367139768933,-0.8371031010407158,-0.8333078170839664,-18.885404916140924,NTN-B fwd - premio,1
3,27,0.0,1.0428326845925064,1.0484265930775842,1.0484265930775842,-0.5364147641060635,-0.5364147641060635,-0.3211529282322183,-0.3211529282322183,0.0,NTN-B fwd - premio,1
4,27,0.0,1.0428326845925064,1.0549287757570722,1.0549287757570722,-1.1599263566707707,-1.1599263566707707,-0.5023517585712848,-0.5023517585712848,0.0,NTN-B fwd - premio,1
