,media12,sazonal,focus,focus_saz,ridge,lstm
y_h1,0.3900,0.3963,0.3911,0.3823,0.3370,0.4085
y_h2,0.4002,0.3929,0.3851,0.3813,0.3464,0.4088
y_h3,0.4095,0.3953,0.3937,0.3900,0.3857,0.4153
y_h4,0.4094,0.3900,0.3941,0.3873,0.4087,0.4170
y_h5,0.4157,0.3905,0.3974,0.3893,0.4138,0.4124
y_h6,0.4212,0.3915,0.4001,0.3910,0.4093,0.4096
y_h7,0.4175,0.3855,0.4005,0.3894,0.4157,0.3970
y_h8,0.4344,0.3863,0.4087,0.3938,0.3911,0.4012
y_h9,0.4422,0.3875,0.4093,0.3976,0.3916,0.3982
y_h10,0.4501,0.3854,0.4070,0.3975,0.3907,0.3952
y_h11,0.4643,0.3859,0.4077,0.3990,0.3917,0.3932
y_h12,0.4697,0.3831,0.4043,0.3963,0.3967,0.3858
medio,0.4277,0.3892,0.4000,0.3913,0.3906,0.4036
acum12m,3.3797,2.7160,2.7668,2.7672,2.6087,3.8376
