,media12,sazonal,focus,focus_saz,ridge
y_h1,0.3878,0.3961,0.3897,0.3781,0.3291
y_h2,0.3993,0.3940,0.3872,0.3785,0.3544
y_h3,0.4069,0.3926,0.3918,0.3845,0.3975
y_h4,0.4087,0.3862,0.3913,0.3818,0.4208
y_h5,0.4146,0.3867,0.3949,0.3838,0.4262
y_h6,0.4185,0.3862,0.3975,0.3847,0.4223
y_h7,0.4223,0.3810,0.4016,0.3839,0.4115
y_h8,0.4329,0.3794,0.4058,0.3869,0.3925
y_h9,0.4413,0.3801,0.4066,0.3905,0.3898
y_h10,0.4529,0.3793,0.4065,0.3926,0.3911
y_h11,0.4636,0.3786,0.4054,0.3935,0.3966
y_h12,0.4702,0.3767,0.4027,0.3922,0.3954
medio,0.4273,0.3848,0.3985,0.3860,0.3949
acum12m,3.3876,2.7211,2.7507,2.7511,2.6649
