,pi_q,pi_e,hiato,de,pi_star_usd,pi_agr_usd,pi_met_usd,de_fim,pi_star_usd_fim,ipca_12m,rr_2a,rr_10a,g_rr,g_rr_fim,selic,selic_fim,pi_e_2a,pi_bcb,pi_is_q,pi_ia_q,pi_ii_q,pi_im_q,wq_is,wq_ia,wq_ii,wq_im,meta_12m,meta_24m,completo
2001Q4,2.205941304500003,5.03,,0.4598374386107551,-8.429028687526952,-7.468360364663162,-2.8334396756911406,-14.082566069500368,-3.167839821423879,7.67,,,,,19.0,19.0,4.12996308389718,3.8,0.9831994680000067,3.1908971456000135,2.7949423599999745,2.225027257500023,0.2772051683844949,0.17500747497757507,0.25311724064827806,0.29467011598965204,3.5416666666666665,3.9583333333333335,True
2002Q1,1.4871632319999994,4.701967213114754,,-7.088152425828397,0.6026907441149199,1.6965728578798078,2.7041332939539586,0.1378122526468184,-1.2537165781069781,7.75,,,,,18.86111111111111,18.5,3.9471967325321744,,1.767953672,1.0819131806000026,1.7702788220000043,1.1883734471999974,0.27792388830444675,0.17462430150279398,0.25417698329206684,0.29327482690069234,3.5833333333333335,4.25,True
2002Q2,1.435929056000007,4.5476190476190474,,4.865473276574306,-3.438380496365312,-6.670548013934141,1.0480927054472122,20.223444189098537,-1.64300136148805,7.66,,,,,18.5,18.5,3.836591593059768,2.4,1.0029783040000018,-1.2177929673999888,1.3756823612000035,3.6345978720000227,0.2768187231812768,0.16991783008216993,0.2542477457522543,0.299015700984299,3.708333333333333,4.625,True
2002Q3,2.581038692000015,5.050151515151515,,22.295934364493775,7.2641849784074175,9.518594539868896,-1.3381000046223335,31.43158560249546,9.10259890316416,7.93,,,,,18.092391304347824,18.0,4.156551241366436,,1.5578871559999818,5.981541838400006,1.436222527200015,2.641940312000002,0.27474037370186855,0.17216586082930416,0.249759248796244,0.3033345166725834,3.833333333333333,5.0,True
2002Q4,6.561322801999991,9.60125,,16.28741571233052,7.109265061518677,8.380493647865528,2.0792041134105155,-9.743572660903288,7.123462424110194,12.53,,,,,21.41304347826087,25.0,6.4430637191991975,,2.224861726400018,14.895179302399985,4.925562617599999,7.135087516599992,0.26680300204503066,0.18475677135157026,0.25037675565133477,0.29806347095206426,3.9583333333333335,5.375,True
2003Q1,5.132745497500002,10.512950819672131,,-5.140752876874521,5.00028412283795,3.0781352930450367,5.578901382345425,-5.2346987365609055,0.27223247302750053,16.57,,,,,25.822222222222223,26.5,7.75772264673871,,3.0593941691999804,5.682261198600025,3.988304864000014,7.795545964399997,0.2601107398892601,0.18864381135618868,0.24792275207724795,0.3033226966773033,4.25,5.333333333333334,True
2003Q2,1.4335381245000223,8.330983606557377,,-15.645599038250335,-1.005133112546197,-1.3473925622858651,0.6219528764723314,-15.487663989156065,0.5122035904365774,16.57,,,,,26.439560439560438,26.0,7.039199178644759,6.0,1.4771112403999975,0.8244695639999966,2.285604214499992,0.9890970298000124,0.25752303009212035,0.18938875755503023,0.24677698710794843,0.306311225244901,4.625,5.083333333333333,True
2003Q3,1.3248973040000056,6.618636363636363,,-1.7627976427015524,2.5790450687649624,2.7293351606636485,3.0806132509728634,1.7738671287077512,5.225451521191271,15.14,,,,,23.47826086956522,20.0,5.563168232634357,,1.6083409712000174,-0.6891412645999906,0.651266756000024,3.0592644031999905,0.2612817838453515,0.18435255305765916,0.24526073578220733,0.30910492731478195,5.0,4.833333333333334,True
2003Q4,1.154267127200015,6.048709677419355,-0.99,-1.1673871739589448,7.908724128850064,7.394873673318347,9.89139676777775,-1.1767675278500533,8.105145756719523,9.3,,,,,18.402173913043477,16.5,5.138088582720626,5.2,1.4367906595999846,0.8522879439999853,1.3656303080000098,0.9022741843999871,0.2606026060260603,0.18449484494844948,0.24392843928439287,0.3109741097410974,5.375,4.583333333333334,True
2004Q1,1.8510967891999908,5.645573770491803,-0.53,-0.16090265453720942,3.201331580734035,-1.4597605520314083,15.518508273021325,0.669221856691804,4.964148376614297,5.89,,,,,16.46153846153846,16.25,4.936737693697333,5.5,2.8635452802000083,1.2529233248000038,2.1846818266999968,1.0314124711999995,0.26272937270627295,0.1833651663483365,0.24403555964440354,0.30986990130098696,5.333333333333334,4.5,True
2004Q2,1.5981483977000055,5.742903225806452,-0.1,5.148256698877263,6.615646686250365,6.401579206798402,3.6254574371545445,6.614667864125634,2.89839614159062,6.06,,,,,16.03846153846154,16.0,5.0564262215451174,5.4,0.9932695904000255,0.34613509409999743,2.886901033399991,1.708032536000026,0.26242183695285864,0.18067526472685308,0.24577072039504277,0.3111321779252455,5.083333333333333,4.5,True
2004Q3,1.9415797207000152,6.192923076923077,0.28,-2.295699128059381,-0.6111492294611054,-4.145323854278793,2.4533607518981704,-8.348654990985139,0.521371293179751,6.7,,,,,16.04076086956522,16.25,5.210015163481285,,1.5169794128000014,1.0905408224000102,1.3257402080000036,3.434069589200006,0.2604745209490419,0.18046436092872184,0.2461694923389847,0.31289162578325164,4.833333333333334,4.5,True
