date,month,source,source_file
2019-07-31,2019-07,kapitalo,kapitalo_k10_072019.md
2019-08-31,2019-08,kapitalo,kapitalo_k10_082019.md
2019-09-30,2019-09,kapitalo,kapitalo_k10_092019.md
2019-10-31,2019-10,kapitalo,kapitalo_k10_102019.md
2019-11-30,2019-11,kapitalo,kapitalo_k10_112019.md
2019-12-31,2019-12,kapitalo,kapitalo_k10_122019.md
2020-01-31,2020-01,kapitalo,kapitalo_k10_012020.md
2020-02-29,2020-02,kapitalo,kapitalo_k10_022020.md
2020-03-31,2020-03,kapitalo,kapitalo_k10_032020.md
2020-04-30,2020-04,kapitalo,kapitalo_k10_042020.md
2020-05-31,2020-05,kapitalo,kapitalo_k10_052020.md
2020-06-30,2020-06,kapitalo,kapitalo_k10_062020.md
2020-07-31,2020-07,kapitalo,kapitalo_k10_072020.md
2020-08-31,2020-08,kapitalo,kapitalo_k10_082020.md
2020-09-30,2020-09,kapitalo,kapitalo_k10_092020.md
2020-10-31,2020-10,kapitalo,kapitalo_k10_102020.md
2020-11-30,2020-11,kapitalo,kapitalo_k10_112020.md
2020-12-31,2020-12,kapitalo,kapitalo_k10_122020.md
2021-01-31,2021-01,kapitalo,kapitalo_k10_012021.md
2021-02-28,2021-02,kapitalo,kapitalo_k10_022021.md
2021-03-31,2021-03,kapitalo,kapitalo_k10_032021.md
2021-04-30,2021-04,kapitalo,kapitalo_k10_042021.md
2021-05-31,2021-05,kapitalo,kapitalo_k10_052021.md
2021-06-30,2021-06,kapitalo,kapitalo_k10_062021.md
2021-07-31,2021-07,kapitalo,kapitalo_k10_072021.md
2021-08-31,2021-08,kapitalo,kapitalo_k10_082021.md
2021-09-30,2021-09,kapitalo,kapitalo_k10_092021.md
2021-10-31,2021-10,kapitalo,kapitalo_k10_102021.md
2021-11-30,2021-11,kapitalo,kapitalo_k10_112021.md
2021-12-31,2021-12,kapitalo,kapitalo_k10_122021.md
2022-01-31,2022-01,kapitalo,kapitalo_k10_012022.md
2022-02-28,2022-02,kapitalo,kapitalo_k10_022022.md
2022-03-31,2022-03,kapitalo,kapitalo_k10_032022.md
2022-04-30,2022-04,kapitalo,kapitalo_k10_042022.md
2022-05-31,2022-05,kapitalo,kapitalo_k10_052022.md
2022-06-30,2022-06,kapitalo,kapitalo_k10_062022.md
2022-07-31,2022-07,kapitalo,kapitalo_k10_072022.md
2022-08-31,2022-08,kapitalo,kapitalo_k10_082022.md
2022-09-30,2022-09,kapitalo,kapitalo_k10_092022.md
2022-10-31,2022-10,kapitalo,kapitalo_k10_102022.md
2022-11-30,2022-11,kapitalo,kapitalo_k10_112022.md
2022-12-31,2022-12,kapitalo,kapitalo_k10_122022.md
2023-01-31,2023-01,kapitalo,kapitalo_k10_012023.md
2023-02-28,2023-02,kapitalo,kapitalo_k10_022023.md
2023-03-31,2023-03,kapitalo,kapitalo_k10_032023.md
2023-04-30,2023-04,kapitalo,kapitalo_k10_042023.md
2023-05-31,2023-05,kapitalo,kapitalo_k10_052023.md
2023-06-30,2023-06,kapitalo,kapitalo_k10_062023.md
2023-07-31,2023-07,kapitalo,kapitalo_k10_072023.md
2023-08-31,2023-08,kapitalo,kapitalo_k10_082023.md
2023-09-30,2023-09,kapitalo,kapitalo_k10_092023.md
2023-10-31,2023-10,kapitalo,kapitalo_k10_102023.md
2023-11-30,2023-11,kapitalo,kapitalo_k10_112023.md
2023-12-31,2023-12,kapitalo,kapitalo_k10_122023.md
2024-01-31,2024-01,kapitalo,kapitalo_k10_012024.md
2024-02-29,2024-02,kapitalo,kapitalo_k10_022024.md
2024-03-31,2024-03,kapitalo,kapitalo_k10_032024.md
2024-04-30,2024-04,kapitalo,kapitalo_k10_042024.md
2024-05-31,2024-05,kapitalo,kapitalo_k10_052024.md
2024-06-30,2024-06,kapitalo,kapitalo_k10_062024.md
2024-07-31,2024-07,kapitalo,kapitalo_k10_072024.md
2024-08-31,2024-08,kapitalo,kapitalo_k10_082024.md
2024-09-30,2024-09,kapitalo,kapitalo_k10_092024.md
2024-10-31,2024-10,kapitalo,kapitalo_k10_102024.md
2024-11-30,2024-11,kapitalo,kapitalo_k10_112024.md
2024-12-31,2024-12,kapitalo,kapitalo_k10_122024.md
2025-01-31,2025-01,kapitalo,kapitalo_k10_012025.md
2025-02-28,2025-02,kapitalo,kapitalo_k10_022025.md
2025-03-31,2025-03,kapitalo,kapitalo_k10_032025.md
2025-04-30,2025-04,kapitalo,kapitalo_k10_042025.md
2025-05-31,2025-05,kapitalo,kapitalo_k10_052025.md
2025-06-30,2025-06,kapitalo,kapitalo_k10_062025.md
2025-07-31,2025-07,kapitalo,kapitalo_k10_072025.md
2025-08-31,2025-08,kapitalo,kapitalo_k10_082025.md
2025-09-30,2025-09,kapitalo,kapitalo_k10_092025.md
2025-10-31,2025-10,kapitalo,kapitalo_k10_102025.md
2025-11-30,2025-11,kapitalo,kapitalo_k10_112025.md
2025-12-31,2025-12,kapitalo,kapitalo_k10_122025.md
2026-01-31,2026-01,kapitalo,kapitalo_k10_012026.md
2026-02-28,2026-02,kapitalo,kapitalo_k10_022026.md
2026-03-31,2026-03,kapitalo,kapitalo_k10_032026.md
2026-04-30,2026-04,kapitalo,kapitalo_k10_042026.md
2026-05-31,2026-05,kapitalo,kapitalo_k10_052026.md
