date,month,source,source_file
2010-02-08,2010-01,verde_asset,Verde-REL-2010_01.md
2010-03-05,2010-02,verde_asset,Verde-REL-2010_02.md
2010-04-09,2010-03,verde_asset,Verde-REL-2010_03.md
2010-05-13,2010-04,verde_asset,Verde-REL-2010_04.md
2010-06-10,2010-05,verde_asset,Verde-REL-2010_05.md
2010-07-09,2010-06,verde_asset,Verde-REL-2010_06.md
2010-08-09,2010-07,verde_asset,Verde-REL-2010_07.md
2010-09-09,2010-08,verde_asset,Verde-REL-2010_08.md
2010-10-08,2010-09,verde_asset,Verde-REL-2010_09.md
2010-11-11,2010-10,verde_asset,Verde-REL-2010_10.md
2010-12-14,2010-11,verde_asset,Verde-REL-2010_11.md
2011-01-10,2010-12,verde_asset,Verde-REL-2010_12.md
2011-02-09,2011-01,verde_asset,Verde-REL-2011_01.md
2011-03-10,2011-02,verde_asset,Verde-REL-2011_02.md
2011-04-11,2011-03,verde_asset,Verde-REL-2011_03.md
2011-05-11,2011-04,verde_asset,Verde-REL-2011_04.md
2011-06-09,2011-05,verde_asset,Verde-REL-2011_05.md
2011-07-11,2011-06,verde_asset,Verde-REL-2011_06.md
2011-09-26,2011-07,verde_asset,Verde-REL-2011_07.md
2011-09-26,2011-08,verde_asset,Verde-REL-2011_08.md
2011-10-10,2011-09,verde_asset,Verde-REL-2011_09.md
2011-11-09,2011-10,verde_asset,Verde-REL-2011_10.md
2011-12-13,2011-11,verde_asset,Verde-REL-2011_11.md
2012-01-10,2011-12,verde_asset,Verde-REL-2011_12.md
2012-02-09,2012-01,verde_asset,Verde-REL-2012_01.md
2012-03-09,2012-02,verde_asset,Verde-REL-2012_02.md
2012-04-10,2012-03,verde_asset,Verde-REL-2012_03.md
2012-05-09,2012-04,verde_asset,Verde-REL-2012_04.md
2012-06-12,2012-05,verde_asset,Verde-REL-2012_05.md
2012-07-12,2012-06,verde_asset,Verde-REL-2012_06.md
2012-08-09,2012-07,verde_asset,Verde-REL-2012_07.md
2012-09-10,2012-08,verde_asset,Verde-REL-2012_08.md
2012-10-09,2012-09,verde_asset,Verde-REL-2012_09.md
2012-11-09,2012-10,verde_asset,Verde-REL-2012_10.md
2012-12-11,2012-11,verde_asset,Verde-REL-2012_11.md
2013-01-09,2012-12,verde_asset,Verde-REL-2012_12.md
2013-02-13,2013-01,verde_asset,Verde-REL-2013_01.md
2013-03-12,2013-02,verde_asset,Verde-REL-2013_02.md
2013-04-11,2013-03,verde_asset,Verde-REL-2013_03.md
2013-05-08,2013-04,verde_asset,Verde-REL-2013_04.md
2013-06-11,2013-05,verde_asset,Verde-REL-2013_05.md
2013-07-11,2013-06,verde_asset,Verde-REL-2013_06.md
2013-08-07,2013-07,verde_asset,Verde-REL-2013_07.md
2013-09-05,2013-08,verde_asset,Verde-REL-2013_08.md
2013-10-08,2013-09,verde_asset,Verde-REL-2013_09.md
2013-11-08,2013-10,verde_asset,Verde-REL-2013_10.md
2013-12-10,2013-11,verde_asset,Verde-REL-2013_11.md
2014-01-10,2013-12,verde_asset,Verde-REL-2013_12.md
2014-02-10,2014-01,verde_asset,Verde-REL-2014_01.md
2014-03-10,2014-02,verde_asset,Verde-REL-2014_02.md
2014-04-08,2014-03,verde_asset,Verde-REL-2014_03.md
2014-05-09,2014-04,verde_asset,Verde-REL-2014_04.md
2014-06-09,2014-05,verde_asset,Verde-REL-2014_05.md
2014-07-08,2014-06,verde_asset,Verde-REL-2014_06.md
