Subitem,Soma de pesos,Year,Quarter,Month,Day
1201001 Refeição,0.035966,2025,Qtr 1,January,1
1201003 Lanche,0.018151,2025,Qtr 1,January,1
1201007 Refrigerante e água mineral,0.001217,2025,Qtr 1,January,1
1201009 Cafezinho,0.000448,2025,Qtr 1,January,1
1201048 Cerveja,0.002841,2025,Qtr 1,January,1
1201051 Outras bebidas alcoólicas,0.00007000000000000001,2025,Qtr 1,January,1
1201052 Vinho,0.000071,2025,Qtr 1,January,1
1201061 Doces,0.000046,2025,Qtr 1,January,1
1201088 Sorvete,0.000596,2025,Qtr 1,January,1
2101001 Aluguel residencial,0.036143,2025,Qtr 1,January,1
2101002 Condomínio,0.022399,2025,Qtr 1,January,1
2101012 Mudança,0.000017,2025,Qtr 1,January,1
3301002 Conserto de refrigerador,0.00016,2025,Qtr 1,January,1
3301006 Conserto de televisor,0.000018,2025,Qtr 1,January,1
3301015 Conserto de máquina de lavar roupa,0.00004799999999999999,2025,Qtr 1,January,1
3301022 Reforma de estofado,0.000459,2025,Qtr 1,January,1
3301088 Conserto de aparelho celular,0.000557,2025,Qtr 1,January,1
3301130 Conserto de bicicleta,0.002141,2025,Qtr 1,January,1
5101026 Transporte escolar,0.00126,2025,Qtr 1,January,1
5102005 Seguro voluntário de veículo,0.008182,2025,Qtr 1,January,1
5102011 Conserto de automóvel,0.017552,2025,Qtr 1,January,1
5102013 Estacionamento,0.00061,2025,Qtr 1,January,1
5102037 Pintura de veículo,0.000159,2025,Qtr 1,January,1
5102051 Aluguel de veículo,0.000224,2025,Qtr 1,January,1
6201002 Médico,0.005352,2025,Qtr 1,January,1
6201003 Dentista,0.005547,2025,Qtr 1,January,1
6201005 Aparelho ortodôntico,0.000183,2025,Qtr 1,January,1
6201007 Fisioterapeuta,0.000004,2025,Qtr 1,January,1
6201010 Psicólogo,0.000468,2025,Qtr 1,January,1
6202003 Exame de laboratório,0.001064,2025,Qtr 1,January,1
6202004 Hospitalização e cirurgia,0.003591,2025,Qtr 1,January,1
6202006 Exame de imagem,0.001256,2025,Qtr 1,January,1
7101001 Costureira,0.000139,2025,Qtr 1,January,1
7101005 Manicure,0.004219,2025,Qtr 1,January,1
7101011 Cabeleireiro e barbeiro,0.010735,2025,Qtr 1,January,1
7101014 Depilação,0.000616,2025,Qtr 1,January,1
7101036 Despachante,0.0008649999999999999,2025,Qtr 1,January,1
7101076 Serviço bancário,0.017054,2025,Qtr 1,January,1
7101144 Sobrancelha,0.001101,2025,Qtr 1,January,1
7201006 Clube,0.000771,2025,Qtr 1,January,1
7201015 Tratamento de animais (clínica),0.002704,2025,Qtr 1,January,1
7201054 Casa noturna,0.000357,2025,Qtr 1,January,1
7201256 Serviço de higiene para animais,0.001396,2025,Qtr 1,January,1
"7201266 Cinema, teatro e concertos",0.004987,2025,Qtr 1,January,1
