Subitem,Year,Month,Soma de var12m
5102011 Conserto de automóvel,2022,September,12.37
1201003 Lanche,2023,March,12.34
1201003 Lanche,2023,January,12.28
1201003 Lanche,2023,April,12.28
7101005 Manicure,2024,June,12.13
1201003 Lanche,2023,February,11.97
1201003 Lanche,2023,May,11.87
1201003 Lanche,2021,February,11.72
1201003 Lanche,2021,March,11.7
1201003 Lanche,2021,January,11.62
7101005 Manicure,2024,May,11.57
5102011 Conserto de automóvel,2022,December,10.89
7101005 Manicure,2024,April,10.74
1201003 Lanche,2022,December,10.67
1201003 Lanche,2022,November,10.65
7101005 Manicure,2022,October,10.58
1201003 Lanche,2021,August,10.57
5102011 Conserto de automóvel,2022,November,10.48
7101005 Manicure,2024,November,10.4
5102011 Conserto de automóvel,2022,October,10.35
7101005 Manicure,2025,February,10.32
7101005 Manicure,2022,November,10.28
7101005 Manicure,2024,July,10.24
1201003 Lanche,2023,June,10.19
7101005 Manicure,2024,August,10.17
7101005 Manicure,2025,January,10.13
7101005 Manicure,2024,December,10.1
1201003 Lanche,2020,December,10.08
5102011 Conserto de automóvel,2022,June,10.05
5102011 Conserto de automóvel,2022,July,10.04
5102011 Conserto de automóvel,2022,August,10
7101011 Cabeleireiro e barbeiro,2022,December,9.98
1201003 Lanche,2021,July,9.97
7101005 Manicure,2023,January,9.96
1201003 Lanche,2021,October,9.93
5102011 Conserto de automóvel,2022,April,9.91
5102011 Conserto de automóvel,2023,May,9.9
7101005 Manicure,2022,August,9.9
2101001 Aluguel residencial,2022,August,9.88
7101005 Manicure,2022,September,9.86
7101011 Cabeleireiro e barbeiro,2022,July,9.8
7101011 Cabeleireiro e barbeiro,2023,February,9.75
7101005 Manicure,2025,March,9.7
1201003 Lanche,2021,May,9.69
2101001 Aluguel residencial,2022,July,9.69
7101011 Cabeleireiro e barbeiro,2023,January,9.68
5102011 Conserto de automóvel,2023,June,9.66
2101001 Aluguel residencial,2022,June,9.65
7101005 Manicure,2023,February,9.65
7101011 Cabeleireiro e barbeiro,2023,April,9.56
2101001 Aluguel residencial,2022,September,9.53
5102011 Conserto de automóvel,2022,March,9.45
7101011 Cabeleireiro e barbeiro,2022,November,9.39
7101005 Manicure,2024,March,9.38
7101011 Cabeleireiro e barbeiro,2022,September,9.37
7101011 Cabeleireiro e barbeiro,2023,June,9.37
1201003 Lanche,2023,July,9.29
7101005 Manicure,2024,September,9.28
5102011 Conserto de automóvel,2023,January,9.25
6201003 Dentista,2024,February,9.25
6201003 Dentista,2025,January,9.17
6201003 Dentista,2023,April,9.14
2101002 Condomínio,2022,October,9.12
6201003 Dentista,2023,March,9.12
2101001 Aluguel residencial,2022,May,9.11
5102011 Conserto de automóvel,2023,February,9.09
2101002 Condomínio,2022,September,9.07
7101005 Manicure,2024,October,9.05
7101005 Manicure,2022,July,9.03
7101076 Serviço bancário,2024,October,9
2101001 Aluguel residencial,2022,October,8.99
5102011 Conserto de automóvel,2022,May,8.99
1201003 Lanche,2021,September,8.96
2101001 Aluguel residencial,2022,November,8.94
6201003 Dentista,2023,May,8.91
6201003 Dentista,2025,March,8.9
5102011 Conserto de automóvel,2025,March,8.88
6201003 Dentista,2024,December,8.88
6201003 Dentista,2022,November,8.86
7101011 Cabeleireiro e barbeiro,2023,May,8.86
7101076 Serviço bancário,2024,August,8.86
1201003 Lanche,2021,June,8.85
7101076 Serviço bancário,2024,September,8.84
7101005 Manicure,2022,April,8.81
7101005 Manicure,2022,May,8.78
7101005 Manicure,2022,December,8.78
7101005 Manicure,2023,March,8.78
5102011 Conserto de automóvel,2023,April,8.77
7101011 Cabeleireiro e barbeiro,2022,June,8.77
6201003 Dentista,2022,December,8.71
7101011 Cabeleireiro e barbeiro,2022,May,8.71
6201003 Dentista,2024,November,8.7
7101005 Manicure,2023,July,8.7
1201003 Lanche,2023,August,8.68
1201003 Lanche,2025,February,8.68
6201003 Dentista,2023,January,8.68
7101011 Cabeleireiro e barbeiro,2022,August,8.68
2101001 Aluguel residencial,2022,December,8.67
7101011 Cabeleireiro e barbeiro,2023,March,8.67
7101076 Serviço bancário,2024,July,8.66
1201003 Lanche,2025,March,8.65
7101011 Cabeleireiro e barbeiro,2022,March,8.63
2101002 Condomínio,2022,August,8.61
6201003 Dentista,2024,May,8.6
5102011 Conserto de automóvel,2022,January,8.58
6201003 Dentista,2024,January,8.55
6201003 Dentista,2022,October,8.54
7101005 Manicure,2022,March,8.54
2101002 Condomínio,2022,November,8.53
6201003 Dentista,2023,February,8.48
6201003 Dentista,2023,June,8.48
5102011 Conserto de automóvel,2023,March,8.45
6201003 Dentista,2024,October,8.45
7101011 Cabeleireiro e barbeiro,2023,July,8.45
2101001 Aluguel residencial,2022,April,8.42
6201003 Dentista,2024,September,8.4
7101011 Cabeleireiro e barbeiro,2022,October,8.4
1201001 Refeição,2022,August,8.37
6201002 Médico,2023,February,8.37
7101076 Serviço bancário,2024,November,8.37
6201003 Dentista,2024,April,8.36
2101001 Aluguel residencial,2022,February,8.35
1201003 Lanche,2021,April,8.33
5102011 Conserto de automóvel,2023,July,8.33
6201003 Dentista,2024,June,8.31
6201003 Dentista,2024,August,8.31
7101005 Manicure,2023,June,8.3
5102011 Conserto de automóvel,2022,February,8.29
7101005 Manicure,2024,February,8.29
6201003 Dentista,2024,March,8.27
7101005 Manicure,2021,December,8.26
1201003 Lanche,2025,January,8.23
2101002 Condomínio,2022,June,8.23
6201003 Dentista,2025,February,8.23
5102011 Conserto de automóvel,2023,August,8.2
2101002 Condomínio,2022,July,8.18
7101005 Manicure,2023,August,8.14
6201003 Dentista,2023,July,8.11
6201002 Médico,2023,March,8.1
7101005 Manicure,2022,June,8.1
2101002 Condomínio,2024,May,8.09
7101011 Cabeleireiro e barbeiro,2022,April,8.08
1201001 Refeição,2022,July,8.07
7101011 Cabeleireiro e barbeiro,2023,September,8.04
2101001 Aluguel residencial,2022,March,8.03
7101076 Serviço bancário,2024,December,8.03
7101005 Manicure,2023,April,8.02
2101001 Aluguel residencial,2022,January,8.01
7101005 Manicure,2022,February,8
7101005 Manicure,2023,September,8
6201002 Médico,2023,April,7.99
1201003 Lanche,2023,September,7.98
6201003 Dentista,2023,September,7.98
6201003 Dentista,2024,July,7.97
6201003 Dentista,2022,September,7.95
7101011 Cabeleireiro e barbeiro,2023,October,7.95
7101011 Cabeleireiro e barbeiro,2023,August,7.93
6201003 Dentista,2022,August,7.91
7101011 Cabeleireiro e barbeiro,2023,December,7.88
6201003 Dentista,2023,August,7.87
7101005 Manicure,2023,May,7.87
7101076 Serviço bancário,2023,January,7.87
1201003 Lanche,2023,October,7.86
2101002 Condomínio,2022,May,7.86
6201003 Dentista,2022,July,7.86
6201002 Médico,2023,January,7.83
1201001 Refeição,2021,December,7.82
7101005 Manicure,2024,January,7.82
7101005 Manicure,2023,October,7.8
5102011 Conserto de automóvel,2023,October,7.78
6201003 Dentista,2023,October,7.75
1201001 Refeição,2022,January,7.74
1201001 Refeição,2022,September,7.73
7101011 Cabeleireiro e barbeiro,2022,February,7.68
7101076 Serviço bancário,2024,June,7.68
1201001 Refeição,2022,April,7.67
6201003 Dentista,2023,December,7.67
7101011 Cabeleireiro e barbeiro,2024,March,7.65
1201003 Lanche,2023,November,7.62
1201001 Refeição,2022,October,7.59
5102011 Conserto de automóvel,2023,September,7.58
7101011 Cabeleireiro e barbeiro,2022,January,7.57
1201003 Lanche,2022,September,7.56
1201003 Lanche,2024,December,7.56
1201001 Refeição,2022,June,7.55
2101002 Condomínio,2024,March,7.55
7101011 Cabeleireiro e barbeiro,2023,November,7.55
1201001 Refeição,2022,March,7.54
1201001 Refeição,2021,November,7.46
1201001 Refeição,2022,May,7.44
6201002 Médico,2022,October,7.44
6201003 Dentista,2023,November,7.36
6201002 Médico,2022,December,7.34
1201003 Lanche,2024,November,7.32
7101005 Manicure,2023,December,7.31
1201001 Refeição,2022,February,7.3
6201002 Médico,2022,September,7.25
1201003 Lanche,2023,December,7.24
2101002 Condomínio,2024,April,7.22
2101002 Condomínio,2024,August,7.2
6201002 Médico,2022,November,7.18
5102011 Conserto de automóvel,2025,February,7.15
6201003 Dentista,2022,June,7.15
7101005 Manicure,2022,January,7.11
7101011 Cabeleireiro e barbeiro,2024,May,7.11
7101076 Serviço bancário,2024,March,7.11
2101001 Aluguel residencial,2023,March,7.09
2101002 Condomínio,2024,July,7.09
2101002 Condomínio,2025,February,7.06
7101011 Cabeleireiro e barbeiro,2024,July,7.06
2101001 Aluguel residencial,2023,January,7.05
6201002 Médico,2023,May,7.05
7101076 Serviço bancário,2023,February,7.05
1201001 Refeição,2021,October,7.04
7101011 Cabeleireiro e barbeiro,2024,February,7.04
2101002 Condomínio,2023,January,6.97
2101001 Aluguel residencial,2021,December,6.96
2101001 Aluguel residencial,2023,April,6.96
7101076 Serviço bancário,2024,April,6.95
7101076 Serviço bancário,2024,May,6.95
2101001 Aluguel residencial,2023,February,6.94
6201002 Médico,2022,August,6.91
7101076 Serviço bancário,2022,December,6.91
5102011 Conserto de automóvel,2023,December,6.9
5102011 Conserto de automóvel,2024,January,6.89
7101011 Cabeleireiro e barbeiro,2024,January,6.89
1201003 Lanche,2022,July,6.88
5102011 Conserto de automóvel,2023,November,6.86
6201002 Médico,2022,July,6.85
7101076 Serviço bancário,2024,February,6.85
7101011 Cabeleireiro e barbeiro,2024,April,6.83
2101002 Condomínio,2024,January,6.81
1201001 Refeição,2022,November,6.8
2101002 Condomínio,2022,December,6.8
2101001 Aluguel residencial,2023,May,6.79
6201002 Médico,2025,February,6.79
2101002 Condomínio,2023,December,6.74
2101002 Condomínio,2024,February,6.74
2101002 Condomínio,2023,February,6.72
1201001 Refeição,2021,September,6.69
6201002 Médico,2024,October,6.68
7101076 Serviço bancário,2023,March,6.68
7101005 Manicure,2023,November,6.65
6201002 Médico,2025,March,6.62
2101002 Condomínio,2025,March,6.61
2101001 Aluguel residencial,2021,November,6.59
2101001 Aluguel residencial,2023,June,6.58
6201002 Médico,2025,January,6.58
7101011 Cabeleireiro e barbeiro,2024,August,6.56
1201001 Refeição,2025,March,6.55
5102011 Conserto de automóvel,2025,January,6.52
7101011 Cabeleireiro e barbeiro,2024,June,6.52
2101002 Condomínio,2024,June,6.51
1201003 Lanche,2022,October,6.48
1201003 Lanche,2024,January,6.47
2101002 Condomínio,2024,September,6.47
7101011 Cabeleireiro e barbeiro,2025,January,6.47
5102011 Conserto de automóvel,2024,February,6.45
5102011 Conserto de automóvel,2021,December,6.43
6201002 Médico,2022,May,6.43
7101011 Cabeleireiro e barbeiro,2025,February,6.43
1201001 Refeição,2021,August,6.4
1201003 Lanche,2022,August,6.4
6201002 Médico,2022,June,6.38
6201002 Médico,2024,November,6.38
2101002 Condomínio,2022,April,6.36
1201003 Lanche,2024,October,6.35
1201003 Lanche,2021,December,6.34
2101002 Condomínio,2024,October,6.34
6201003 Dentista,2022,May,6.31
6201002 Médico,2023,June,6.29
2101002 Condomínio,2023,March,6.28
2101002 Condomínio,2024,November,6.28
2101002 Condomínio,2024,December,6.25
7101005 Manicure,2021,November,6.23
2101002 Condomínio,2025,January,6.21
6201002 Médico,2024,December,6.19
1201001 Refeição,2023,February,6.18
2101001 Aluguel residencial,2021,October,6.17
1201001 Refeição,2023,May,6.13
1201001 Refeição,2025,January,6.13
1201003 Lanche,2021,November,6.13
1201003 Lanche,2024,February,6.13
5102011 Conserto de automóvel,2021,August,6.11
7101011 Cabeleireiro e barbeiro,2024,December,6.09
6201002 Médico,2024,August,6.08
6201002 Médico,2024,September,6.08
1201001 Refeição,2023,April,6.06
7101076 Serviço bancário,2022,October,6.06
7101011 Cabeleireiro e barbeiro,2024,November,6.01
6201003 Dentista,2022,April,5.98
1201001 Refeição,2023,March,5.97
2101002 Condomínio,2023,October,5.97
2101002 Condomínio,2023,April,5.93
7101011 Cabeleireiro e barbeiro,2025,March,5.93
2101002 Condomínio,2023,November,5.92
7101011 Cabeleireiro e barbeiro,2024,October,5.92
7101076 Serviço bancário,2023,August,5.9
5102011 Conserto de automóvel,2024,December,5.88
6201002 Médico,2023,August,5.88
1201001 Refeição,2022,December,5.86
5102011 Conserto de automóvel,2021,July,5.85
7101011 Cabeleireiro e barbeiro,2021,December,5.85
7101076 Serviço bancário,2022,November,5.85
5102011 Conserto de automóvel,2024,November,5.84
7101076 Serviço bancário,2023,April,5.83
1201001 Refeição,2023,January,5.8
7101076 Serviço bancário,2023,July,5.8
6201002 Médico,2023,July,5.76
2101002 Condomínio,2023,September,5.75
7101076 Serviço bancário,2024,January,5.75
1201001 Refeição,2025,February,5.74
6201002 Médico,2024,July,5.74
5102011 Conserto de automóvel,2021,October,5.73
7101011 Cabeleireiro e barbeiro,2021,November,5.72
6201002 Médico,2023,September,5.71
1201001 Refeição,2024,December,5.7
1201003 Lanche,2024,March,5.68
5102011 Conserto de automóvel,2021,May,5.68
1201003 Lanche,2022,June,5.66
6201002 Médico,2024,June,5.65
5102011 Conserto de automóvel,2021,November,5.64
7101011 Cabeleireiro e barbeiro,2024,September,5.64
6201003 Dentista,2021,August,5.62
