date,name,value
2007-12-19,cds_5y_usd,107.3000
2007-12-20,cds_5y_usd,107.3000
2007-12-21,cds_5y_usd,107.3000
2007-12-24,cds_5y_usd,107.3000
2007-12-25,cds_5y_usd,107.3000
2007-12-26,cds_5y_usd,107.3000
2007-12-27,cds_5y_usd,107.3000
2007-12-28,cds_5y_usd,107.3000
2007-12-31,cds_5y_usd,107.3000
2008-01-01,cds_5y_usd,107.3000
2008-01-02,cds_5y_usd,108.3000
2008-01-03,cds_5y_usd,108.3000
2008-01-04,cds_5y_usd,116.3000
2008-01-07,cds_5y_usd,115.3000
2008-01-08,cds_5y_usd,115.3000
2008-01-09,cds_5y_usd,115.3000
2008-01-10,cds_5y_usd,115.3000
2008-01-11,cds_5y_usd,115.3000
2008-01-14,cds_5y_usd,115.3000
2008-01-15,cds_5y_usd,115.3000
2008-01-16,cds_5y_usd,115.3000
2008-01-17,cds_5y_usd,115.3000
2008-01-18,cds_5y_usd,115.3000
2008-01-21,cds_5y_usd,115.3000
2008-01-22,cds_5y_usd,115.3000
2008-01-23,cds_5y_usd,115.3000
2008-01-24,cds_5y_usd,115.3000
2008-01-25,cds_5y_usd,115.3000
2008-01-28,cds_5y_usd,115.3000
2008-01-29,cds_5y_usd,115.3000
2008-01-30,cds_5y_usd,115.3000
2008-01-31,cds_5y_usd,115.3000
2008-02-01,cds_5y_usd,115.3000
2008-02-04,cds_5y_usd,115.3000
2008-02-05,cds_5y_usd,115.3000
2008-02-06,cds_5y_usd,115.3000
2008-02-07,cds_5y_usd,115.3000
2008-02-08,cds_5y_usd,115.3000
2008-02-11,cds_5y_usd,115.3000
2008-02-12,cds_5y_usd,115.3000
2008-02-13,cds_5y_usd,115.3000
2008-02-14,cds_5y_usd,115.3000
2008-02-15,cds_5y_usd,115.3000
2008-02-18,cds_5y_usd,115.3000
2008-02-19,cds_5y_usd,115.3000
2008-02-20,cds_5y_usd,115.3000
2008-02-21,cds_5y_usd,115.3000
2008-02-22,cds_5y_usd,115.3000
2008-02-25,cds_5y_usd,115.3000
2008-02-26,cds_5y_usd,115.3000
2008-02-27,cds_5y_usd,115.3000
2008-02-28,cds_5y_usd,115.3000
2008-02-29,cds_5y_usd,151.1500
2008-03-03,cds_5y_usd,153.6500
2008-03-04,cds_5y_usd,154.1500
2008-03-05,cds_5y_usd,148.6500
2008-03-06,cds_5y_usd,156.1500
2008-03-07,cds_5y_usd,164.6500
2008-03-10,cds_5y_usd,183.1500
2008-03-11,cds_5y_usd,172.1500
2008-03-12,cds_5y_usd,174.6500
2008-03-13,cds_5y_usd,187.6500
2008-03-14,cds_5y_usd,193.6500
2008-03-17,cds_5y_usd,201.6500
2008-03-18,cds_5y_usd,177.6500
2008-03-19,cds_5y_usd,173.6500
2008-03-20,cds_5y_usd,177.1500
2008-03-21,cds_5y_usd,177.1500
2008-03-24,cds_5y_usd,168.1500
2008-03-25,cds_5y_usd,158.1500
2008-03-26,cds_5y_usd,164.1500
2008-03-27,cds_5y_usd,163.6500
2008-03-28,cds_5y_usd,168.1500
2008-03-31,cds_5y_usd,177.6500
2008-04-01,cds_5y_usd,164.1500
2008-04-02,cds_5y_usd,155.6500
2008-04-03,cds_5y_usd,152.1500
2008-04-04,cds_5y_usd,147.1500
2008-04-07,cds_5y_usd,141.6500
2008-04-08,cds_5y_usd,143.6500
2008-04-09,cds_5y_usd,145.1500
2008-04-10,cds_5y_usd,141.6500
2008-04-11,cds_5y_usd,144.1500
2008-04-14,cds_5y_usd,142.1500
2008-04-15,cds_5y_usd,137.6500
2008-04-16,cds_5y_usd,129.1500
2008-04-17,cds_5y_usd,129.1500
2008-04-18,cds_5y_usd,129.1500
2008-04-21,cds_5y_usd,121.6500
2008-04-22,cds_5y_usd,121.6500
2008-04-23,cds_5y_usd,121.6500
2008-04-24,cds_5y_usd,121.6500
2008-04-25,cds_5y_usd,121.6500
2008-04-28,cds_5y_usd,121.6500
2008-04-29,cds_5y_usd,121.6500
2008-04-30,cds_5y_usd,121.6500
2008-05-01,cds_5y_usd,121.6500
2008-05-02,cds_5y_usd,121.6500
2008-05-05,cds_5y_usd,121.6500
2008-05-06,cds_5y_usd,121.6500
2008-05-07,cds_5y_usd,121.6500
2008-05-08,cds_5y_usd,121.6500
2008-05-09,cds_5y_usd,121.6500
2008-05-12,cds_5y_usd,121.6500
2008-05-13,cds_5y_usd,121.6500
2008-05-14,cds_5y_usd,121.6500
2008-05-15,cds_5y_usd,121.6500
2008-05-16,cds_5y_usd,121.6500
2008-05-19,cds_5y_usd,121.6500
2008-05-20,cds_5y_usd,121.6500
2008-05-21,cds_5y_usd,121.6500
2008-05-22,cds_5y_usd,121.6500
2008-05-23,cds_5y_usd,121.6500
2008-05-26,cds_5y_usd,121.6500
2008-05-27,cds_5y_usd,121.6500
2008-05-28,cds_5y_usd,121.6500
2008-05-29,cds_5y_usd,121.6500
2008-05-30,cds_5y_usd,121.6500
2008-06-02,cds_5y_usd,121.6500
2008-06-03,cds_5y_usd,121.6500
2008-06-04,cds_5y_usd,121.6500
2008-06-05,cds_5y_usd,121.6500
2008-06-06,cds_5y_usd,121.6500
2008-06-09,cds_5y_usd,121.6500
2008-06-10,cds_5y_usd,121.6500
2008-06-11,cds_5y_usd,121.6500
2008-06-12,cds_5y_usd,121.6500
2008-06-13,cds_5y_usd,121.6500
2008-06-16,cds_5y_usd,121.6500
2008-06-17,cds_5y_usd,121.6500
2008-06-18,cds_5y_usd,121.6500
2008-06-19,cds_5y_usd,121.6500
2008-06-20,cds_5y_usd,121.6500
2008-06-23,cds_5y_usd,121.6500
2008-06-24,cds_5y_usd,121.6500
2008-06-25,cds_5y_usd,121.6500
2008-06-26,cds_5y_usd,121.6500
2008-06-27,cds_5y_usd,121.6500
2008-06-30,cds_5y_usd,121.6500
2008-07-01,cds_5y_usd,121.6500
2008-07-02,cds_5y_usd,121.6500
2008-07-03,cds_5y_usd,121.6500
2008-07-04,cds_5y_usd,121.6500
2008-07-07,cds_5y_usd,121.6500
2008-07-08,cds_5y_usd,121.6500
2008-07-09,cds_5y_usd,121.6500
2008-07-10,cds_5y_usd,121.6500
2008-07-11,cds_5y_usd,121.6500
2008-07-14,cds_5y_usd,121.6500
2008-07-15,cds_5y_usd,121.6500
2008-07-16,cds_5y_usd,121.6500
2008-07-17,cds_5y_usd,121.6500
2008-07-18,cds_5y_usd,121.6500
2008-07-21,cds_5y_usd,121.6500
2008-07-22,cds_5y_usd,121.6500
2008-07-23,cds_5y_usd,121.6500
2008-07-24,cds_5y_usd,121.6500
2008-07-25,cds_5y_usd,121.6500
2008-07-28,cds_5y_usd,121.6500
2008-07-29,cds_5y_usd,121.6500
2008-07-30,cds_5y_usd,121.6500
2008-07-31,cds_5y_usd,121.6500
2008-08-01,cds_5y_usd,121.6500
2008-08-04,cds_5y_usd,121.6500
2008-08-05,cds_5y_usd,121.6500
2008-08-06,cds_5y_usd,121.6500
2008-08-07,cds_5y_usd,121.6500
2008-08-08,cds_5y_usd,121.6500
2008-08-11,cds_5y_usd,121.6500
2008-08-12,cds_5y_usd,121.6500
2008-08-13,cds_5y_usd,121.6500
2008-08-14,cds_5y_usd,121.6500
2008-08-15,cds_5y_usd,121.6500
2008-08-18,cds_5y_usd,121.6500
2008-08-19,cds_5y_usd,121.6500
2008-08-20,cds_5y_usd,121.6500
2008-08-21,cds_5y_usd,121.6500
2008-08-22,cds_5y_usd,121.6500
2008-08-25,cds_5y_usd,121.6500
2008-08-26,cds_5y_usd,121.6500
2008-08-27,cds_5y_usd,121.6500
2008-08-28,cds_5y_usd,121.6500
2008-08-29,cds_5y_usd,121.6500
2008-09-01,cds_5y_usd,121.6500
2008-09-02,cds_5y_usd,121.6500
2008-09-03,cds_5y_usd,121.6500
2008-09-04,cds_5y_usd,121.6500
2008-09-05,cds_5y_usd,121.6500
2008-09-08,cds_5y_usd,121.6500
2008-09-09,cds_5y_usd,121.6500
2008-09-10,cds_5y_usd,121.6500
2008-09-11,cds_5y_usd,121.6500
2008-09-12,cds_5y_usd,121.6500
2008-09-15,cds_5y_usd,121.6500
2008-09-16,cds_5y_usd,121.6500
2008-09-17,cds_5y_usd,121.6500
2008-09-18,cds_5y_usd,121.6500
2008-09-19,cds_5y_usd,121.6500
2008-09-22,cds_5y_usd,121.6500
2008-09-23,cds_5y_usd,121.6500
2008-09-24,cds_5y_usd,121.6500
2008-09-25,cds_5y_usd,159.0700
2008-09-26,cds_5y_usd,167.0600
2008-09-29,cds_5y_usd,180.1300
2008-09-30,cds_5y_usd,184.5600
2008-10-01,cds_5y_usd,178.0600
2008-10-02,cds_5y_usd,204.0600
2008-10-03,cds_5y_usd,208.0600
2008-10-06,cds_5y_usd,240.5600
2008-10-07,cds_5y_usd,257.5600
2008-10-08,cds_5y_usd,335.1300
2008-10-09,cds_5y_usd,300.1300
2008-10-10,cds_5y_usd,321.7100
2008-10-13,cds_5y_usd,321.7100
2008-10-14,cds_5y_usd,260.0400
2008-10-15,cds_5y_usd,312.5600
2008-10-16,cds_5y_usd,323.0600
