"Data","Último","Abertura","Máxima","Mínima","Var%"
"31.12.2019","99,11","99,01","99,11","99,01","-0,41%"
"30.12.2019","99,52","100,00","100,00","99,52","-0,45%"
"27.12.2019","99,97","101,96","101,96","99,97","-2,00%"
"26.12.2019","102,01","103,93","103,93","102,01","-1,34%"
"25.12.2019","103,40","103,93","103,93","103,40","0,00%"
"24.12.2019","103,40","103,93","103,93","103,40","-0,11%"
"23.12.2019","103,51","103,93","103,93","103,51","-0,07%"
"20.12.2019","103,58","103,93","103,93","103,58","0,41%"
"19.12.2019","103,16","99,01","103,16","99,01","4,60%"
"18.12.2019","98,62","97,05","98,62","97,05","1,88%"
"17.12.2019","96,80","97,04","97,04","96,80","-0,50%"
"16.12.2019","97,29","100,98","100,98","97,29","-3,45%"
"13.12.2019","100,77","100,98","100,98","100,77","-0,45%"
"12.12.2019","101,23","107,85","107,85","101,23","-6,60%"
"11.12.2019","108,38","114,72","114,72","108,38","-4,92%"
"10.12.2019","113,99","116,68","116,68","113,99","-2,13%"
"09.12.2019","116,47","117,42","117,42","116,47","-0,81%"
"06.12.2019","117,42","120,62","120,62","117,42","-2,66%"
"05.12.2019","120,63","122,59","122,59","120,63","-1,27%"
"04.12.2019","122,18","124,47","124,47","122,18","-2,19%"
"03.12.2019","124,92","124,52","124,92","124,52","0,03%"
"02.12.2019","124,88","124,52","124,88","124,52","0,60%"
"29.11.2019","124,14","123,53","124,14","123,53","0,45%"
"28.11.2019","123,59","123,56","123,59","123,56","0,00%"
"27.11.2019","123,59","123,36","123,59","123,36","0,19%"
"26.11.2019","123,36","123,53","123,53","123,36","-0,49%"
"25.11.2019","123,97","123,54","123,97","123,54","-0,07%"
"22.11.2019","124,06","126,49","126,49","124,06","-2,03%"
"21.11.2019","126,63","128,41","128,41","126,63","-0,96%"
"20.11.2019","127,86","126,46","127,86","126,46","1,21%"
"19.11.2019","126,33","124,49","126,33","124,49","2,10%"
"18.11.2019","123,73","121,57","123,73","121,57","1,81%"
"15.11.2019","121,53","122,51","122,51","121,53","0,07%"
"14.11.2019","121,45","120,56","121,45","120,56","0,68%"
"13.11.2019","120,63","119,59","120,63","119,59","0,37%"
"12.11.2019","120,18","117,63","120,18","117,63","2,56%"
"11.11.2019","117,18","117,64","117,64","117,18","0,00%"
"08.11.2019","117,18","115,71","117,18","115,71","1,23%"
"07.11.2019","115,76","118,61","118,61","115,76","-2,40%"
"06.11.2019","118,61","115,70","118,61","115,70","2,92%"
"05.11.2019","115,25","114,72","115,25","114,72","0,27%"
"04.11.2019","114,94","116,67","116,67","114,94","-1,48%"
"01.11.2019","116,67","121,51","121,51","116,67","-3,82%"
"31.10.2019","121,31","117,61","121,31","117,61","2,78%"
"30.10.2019","118,03","117,14","118,03","117,14","0,76%"
"29.10.2019","117,14","117,15","117,15","117,14","-0,01%"
"28.10.2019","117,15","118,62","118,62","117,15","-1,31%"
"25.10.2019","118,71","121,54","121,54","118,71","-2,33%"
"24.10.2019","121,54","123,50","123,50","121,54","-1,58%"
"23.10.2019","123,49","126,42","126,42","123,49","-2,38%"
"22.10.2019","126,50","127,45","127,45","126,50","-0,75%"
"21.10.2019","127,45","128,39","128,39","127,45","-1,06%"
"18.10.2019","128,81","129,38","129,38","128,81","-0,68%"
"17.10.2019","129,69","131,31","131,31","129,69","-1,23%"
"16.10.2019","131,31","131,37","131,37","131,31","0,29%"
"15.10.2019","130,93","133,25","133,25","130,93","-1,83%"
"14.10.2019","133,37","133,37","133,37","133,37","0,00%"
"11.10.2019","133,37","137,29","137,29","133,37","-2,74%"
"10.10.2019","137,13","139,21","139,21","137,13","-1,91%"
"09.10.2019","139,80","143,03","143,03","139,80","-1,85%"
"08.10.2019","142,43","139,22","142,43","139,22","2,31%"
"07.10.2019","139,21","137,22","139,21","137,22","1,47%"
"04.10.2019","137,20","137,11","137,20","137,11","0,07%"
"03.10.2019","137,11","138,12","138,12","137,11","-1,17%"
"02.10.2019","138,74","138,12","138,74","138,12","1,85%"
"01.10.2019","136,22","136,22","136,22","136,22","-0,01%"
"30.09.2019","136,23","138,18","138,18","136,23","-0,70%"
"27.09.2019","137,19","137,19","137,19","137,19","0,49%"
"26.09.2019","136,52","135,32","136,52","135,32","-0,42%"
"25.09.2019","137,09","137,13","137,13","137,09","-0,01%"
"24.09.2019","137,11","132,29","137,11","132,29","4,98%"
"23.09.2019","130,60","130,31","130,60","130,31","0,12%"
"20.09.2019","130,44","118,16","130,44","118,16","10,50%"
"19.09.2019","118,04","119,64","119,64","118,04","-1,29%"
"18.09.2019","119,58","119,63","119,63","119,58","-0,04%"
"17.09.2019","119,63","121,57","121,57","119,63","-1,60%"
"16.09.2019","121,57","119,68","121,57","119,68","-1,22%"
"13.09.2019","123,07","119,66","123,07","119,66","0,00%"
"12.09.2019","123,07","123,07","123,07","123,07","-0,67%"
"11.09.2019","123,90","124,60","124,60","123,90","1,05%"
"10.09.2019","122,61","122,61","122,61","122,61","-0,78%"
"09.09.2019","123,57","123,57","123,57","123,57","0,06%"
"06.09.2019","123,49","124,60","124,60","123,49","-1,76%"
"05.09.2019","125,70","126,48","126,48","125,70","-0,64%"
"04.09.2019","126,51","132,35","132,35","126,51","-3,97%"
"03.09.2019","131,74","134,35","134,35","131,74","-1,44%"
"02.09.2019","133,67","134,34","134,34","133,67","-0,01%"
"30.08.2019","133,68","137,80","137,80","133,68","-3,24%"
"29.08.2019","138,16","140,20","140,20","138,16","-0,98%"
