"Data","Último","Abertura","Máxima","Mínima","Var%"
"03.08.2026","122,74","122,74","122,74","122,74","-2,51%"
"31.07.2026","125,90","125,90","125,90","125,75","-0,26%"
"30.07.2026","126,23","126,23","126,23","125,23","-1,17%"
"29.07.2026","127,73","127,73","128,23","127,73","2,12%"
"28.07.2026","125,08","125,08","126,39","125,08","1,08%"
"27.07.2026","123,74","123,74","124,74","123,74","-0,53%"
"24.07.2026","124,40","124,40","124,40","123,90","0,12%"
"23.07.2026","124,25","124,25","125,08","124,25","2,20%"
"22.07.2026","121,58","121,58","121,58","120,42","-1,22%"
"21.07.2026","123,08","123,08","123,08","122,59","-1,19%"
"20.07.2026","124,56","124,56","124,56","124,08","-0,02%"
"17.07.2026","124,58","124,58","125,56","124,58","1,35%"
"16.07.2026","122,92","122,92","122,92","122,92","0,01%"
"15.07.2026","122,91","122,91","122,91","122,24","-0,53%"
"14.07.2026","123,57","123,57","123,57","123,23","-0,41%"
"13.07.2026","124,07","124,07","124,41","124,07","0,14%"
"10.07.2026","123,90","123,90","123,90","123,25","-1,06%"
"09.07.2026","125,23","125,23","125,23","123,90","-1,30%"
"08.07.2026","126,89","126,89","126,89","126,24","0,91%"
"07.07.2026","125,74","125,74","126,57","125,74","0,95%"
"06.07.2026","124,56","124,56","125,07","124,56","-0,27%"
"03.07.2026","124,90","124,90","124,90","124,90","0,00%"
"02.07.2026","124,90","124,90","124,90","124,89","-0,53%"
"01.07.2026","125,56","125,56","125,57","125,56","0,27%"
"30.06.2026","125,23","125,23","125,23","124,86","-1,04%"
"29.06.2026","126,55","126,55","126,55","125,57","-1,18%"
"26.06.2026","128,06","128,06","128,06","127,54","1,05%"
"25.06.2026","126,73","126,73","126,73","126,72","0,39%"
"24.06.2026","126,23","126,23","127,54","126,23","-0,26%"
"23.06.2026","126,56","126,56","126,56","126,56","1,47%"
"22.06.2026","124,73","124,73","124,91","124,73","0,00%"
"19.06.2026","124,73","124,73","124,73","124,73","0,82%"
"18.06.2026","123,71","123,71","124,72","123,71","0,31%"
"17.06.2026","123,33","123,33","124,57","123,33","1,03%"
"16.06.2026","122,07","122,07","122,41","122,07","-1,20%"
"15.06.2026","123,56","123,56","123,56","121,40","-1,48%"
"12.06.2026","125,42","125,42","125,57","125,42","-0,90%"
"11.06.2026","126,55","126,55","126,55","125,07","-0,41%"
"10.06.2026","127,07","127,07","128,22","127,07","3,12%"
"09.06.2026","123,22","123,22","123,22","123,22","-0,42%"
"08.06.2026","123,74","123,74","124,07","123,74","1,22%"
"05.06.2026","122,25","122,25","122,93","122,25","1,10%"
"04.06.2026","120,92","120,92","120,92","120,91","0,41%"
"03.06.2026","120,43","120,43","120,92","120,43","1,68%"
"02.06.2026","118,43","118,43","118,43","118,43","-0,27%"
"01.06.2026","118,76","118,76","118,90","118,76","-0,55%"
"29.05.2026","119,42","119,42","119,42","118,42","-0,42%"
"28.05.2026","119,92","119,92","120,42","119,92","-0,14%"
"27.05.2026","120,09","120,09","120,25","120,09","0,14%"
"26.05.2026","119,92","119,92","119,92","119,91","0,00%"
"25.05.2026","119,92","119,92","119,92","119,92","-0,55%"
"22.05.2026","120,58","120,58","120,58","119,93","-1,89%"
"21.05.2026","122,91","122,91","122,91","121,92","-0,93%"
"20.05.2026","124,06","124,06","124,06","123,06","-0,94%"
"19.05.2026","125,24","125,24","127,58","125,24","1,22%"
"18.05.2026","123,73","123,73","124,24","123,73","-0,28%"
"15.05.2026","124,07","124,07","125,08","124,07","2,32%"
"14.05.2026","121,26","121,26","122,08","121,26","1,40%"
"13.05.2026","119,58","119,58","122,59","119,58","0,27%"
"12.05.2026","119,26","119,26","119,42","119,26","1,27%"
"11.05.2026","117,76","117,76","118,77","117,76","0,00%"
"08.05.2026","117,76","117,76","117,76","117,43","1,28%"
"07.05.2026","116,27","116,27","117,43","116,27","-1,82%"
"05.05.2026","118,42","118,42","118,75","118,42","-1,52%"
"04.05.2026","120,25","120,25","120,25","120,10","1,13%"
"01.05.2026","118,91","118,91","118,91","118,09","-4,15%"
"29.04.2026","124,06","124,06","124,06","122,41","0,54%"
"28.04.2026","123,40","123,40","123,40","123,40","-0,13%"
"27.04.2026","123,56","123,56","123,90","123,56","-0,27%"
"24.04.2026","123,89","123,89","124,22","123,89","0,81%"
"23.04.2026","122,90","122,90","125,90","122,90","-0,80%"
"22.04.2026","123,89","123,89","123,89","123,23","0,00%"
"21.04.2026","123,90","123,90","123,91","123,90","0,00%"
"20.04.2026","123,90","123,90","124,24","123,90","-0,51%"
"17.04.2026","124,54","124,54","124,54","123,55","-2,76%"
"16.04.2026","128,08","128,08","128,88","128,08","1,58%"
"15.04.2026","126,08","126,08","126,89","126,08","2,59%"
"14.04.2026","122,90","122,90","123,07","122,90","-1,85%"
"13.04.2026","125,22","125,22","125,22","124,23","-0,92%"
"10.04.2026","126,39","126,39","126,39","125,22","0,94%"
"09.04.2026","125,21","125,21","125,21","124,05","-3,57%"
"08.04.2026","129,84","129,84","129,84","125,54","-4,88%"
"07.04.2026","136,50","136,50","136,50","136,50","-0,23%"
"06.04.2026","136,82","136,82","136,82","136,50","-0,61%"
"03.04.2026","137,66","137,66","137,66","137,66","0,13%"
"02.04.2026","137,49","137,49","137,49","137,16","0,99%"
"01.04.2026","136,15","136,15","136,49","136,15","-3,52%"
"31.03.2026","141,11","141,11","141,11","138,97","-1,53%"
"30.03.2026","143,31","143,31","144,93","143,31","1,65%"
